account_id,D_total_count,D_Total_Years,D_monthly_average,D_min_val,D_max_val,D_count_of_the_mode,D_amount_mode,pension,base_salary,peak_salary
91,18,2,11440.6772,300,45770,0,,NULL,NULL,NULL
93,36,3,8458.7541,500,10782,25,7188,NULL,NULL,NULL
95,47,4,26007.0732,200,35890,37,23927,NULL,NULL,NULL
96,6,5,550.0000,1100,16400,0,,NULL,44221,66332
97,35,3,20004.6170,900,26892,26,17928,NULL,NULL,NULL
98,1,0,NULL,1100,1100,0,,4557,NULL,NULL
99,52,3,31273.0500,600,49889,0,,NULL,NULL,NULL
100,85,5,14529.4509,200,17837,50,11891,NULL,NULL,NULL
101,39,3,20848.7552,1000,26796,26,17864,NULL,NULL,NULL
102,60,5,14406.1760,100,48218,2,7600,NULL,NULL,NULL
103,38,3,26458.7195,1000,48308,2,1700,NULL,NULL,NULL
104,1,0,NULL,500,500,0,,NULL,3063,3063
105,14,1,14872.5294,800,49101,0,,NULL,NULL,NULL
106,50,4,19301.7321,500,26648,40,17765,NULL,NULL,NULL
107,90,5,8752.5806,100,10600,51,6832,NULL,NULL,NULL
108,49,4,17169.6061,800,23555,37,15703,NULL,NULL,NULL
109,50,2,5925.2224,1100,16920,20,1800,NULL,NULL,NULL
110,32,2,25457.2355,500,35157,24,23438,NULL,NULL,NULL
112,1,0,NULL,200,200,0,,6582,NULL,NULL
113,1,0,NULL,600,600,0,,6417,NULL,NULL
114,1,0,NULL,500,500,0,,4234,NULL,NULL
115,89,6,8983.9301,600,11498,57,7665,NULL,NULL,NULL
116,35,3,25248.6707,800,34685,27,23123,NULL,NULL,NULL
117,1,0,NULL,900,900,0,,4903,NULL,NULL
118,7,1,2100.0000,600,10900,0,,NULL,3674,3674
119,68,6,23256.3757,800,32288,55,21525,NULL,NULL,NULL
120,62,3,25468.5476,400,48187,2,6800,NULL,NULL,NULL
121,9,1,1914.2857,200,13100,3,1100,NULL,3175,3175
122,27,2,25164.7724,900,33903,21,22602,NULL,NULL,NULL
123,1,0,NULL,200,200,0,,4843,NULL,NULL
124,5,1,1480.0000,100,10600,0,,NULL,2990,2990
125,38,2,35459.0217,200,49487,0,,NULL,NULL,NULL
126,78,5,25332.7258,100,49750,3,3100,NULL,NULL,NULL
127,1,0,NULL,600,600,0,,NULL,3364,3364
128,138,6,6092.3272,100,38879,70,1800,NULL,NULL,NULL
129,1,0,NULL,600,600,0,,6998,NULL,NULL
130,1,0,NULL,300,300,0,,6813,NULL,NULL
131,47,4,11524.5973,700,15534,35,10356,NULL,NULL,NULL
132,47,3,40682.0042,200,47976,2,200,NULL,NULL,NULL
133,29,1,47589.7706,900,47803,0,,NULL,NULL,NULL
134,15,1,11439.7253,300,14446,10,9631,NULL,NULL,NULL
135,95,5,5946.7216,100,9200,55,4451,NULL,NULL,NULL
136,1,0,NULL,600,600,0,,6378,NULL,NULL
137,30,2,25154.1581,900,34814,24,23209,NULL,NULL,NULL
138,15,3,964.1026,100,11200,3,1100,NULL,NULL,NULL
139,1,0,NULL,1000,1000,0,,NULL,32778,49167
140,14,2,6557.2899,300,48742,2,300,NULL,NULL,NULL
141,1,0,NULL,900,900,0,,NULL,30165,45248
142,1,0,NULL,900,900,0,,4555,NULL,NULL
143,1,0,NULL,500,500,0,,4924,NULL,NULL
144,32,2,38436.0669,500,48271,0,,NULL,NULL,NULL
145,58,3,9939.9626,200,10834,30,7223,NULL,NULL,NULL
146,1,0,NULL,500,500,0,,6296,NULL,NULL
148,1,0,NULL,500,500,0,,NULL,3468,3468
149,30,1,6620.1276,300,14600,14,400,NULL,NULL,NULL
150,84,4,6006.4020,200,46079,47,1900,NULL,NULL,NULL
151,83,5,5762.7827,100,10700,53,4619,NULL,NULL,NULL
152,44,3,6428.2438,300,9900,26,5129,NULL,NULL,NULL
153,3,2,262.0690,400,6000,0,,NULL,13730,20595
154,57,4,15284.1079,900,21114,45,14076,NULL,NULL,NULL
155,57,3,6306.0424,100,12700,31,4483,NULL,NULL,NULL
156,1,0,NULL,1000,1000,0,,NULL,3481,3481
157,1,0,NULL,200,200,0,,6918,NULL,NULL
158,46,4,26529.4342,700,36822,37,24548,NULL,NULL,NULL
159,24,2,24172.0242,800,33081,18,22054,NULL,NULL,NULL
160,88,5,14561.9377,100,18600,53,11889,NULL,NULL,NULL
161,1,0,NULL,900,900,0,,4419,NULL,NULL
162,1,0,NULL,200,200,0,,5188,NULL,NULL
163,1,0,NULL,900,900,0,,6698,NULL,NULL
164,11,2,6148.2000,200,47058,0,,NULL,NULL,NULL
165,1,0,NULL,1000,1000,0,,6864,NULL,NULL
166,1,0,NULL,800,800,0,,4566,NULL,NULL
167,59,3,40707.9883,300,49608,2,3500,NULL,NULL,NULL
168,1,0,NULL,500,500,0,,NULL,3020,3020
169,43,3,14146.5870,300,19188,32,12792,NULL,NULL,NULL
170,32,2,18951.0101,1000,25599,25,17066,NULL,NULL,NULL
171,1,0,NULL,500,500,0,,6003,NULL,NULL
172,67,5,24351.2883,700,33584,53,22389,NULL,NULL,NULL
173,95,5,21437.5204,500,25970,50,17313,NULL,NULL,NULL
174,1,0,NULL,900,900,0,,NULL,3377,3377
176,53,2,51712.0093,800,49285,0,,NULL,NULL,NULL
177,17,1,21924.7738,800,29175,12,19450,NULL,NULL,NULL
178,1,0,NULL,1000,1000,0,,NULL,2981,2981
179,24,1,44779.3706,200,49959,0,,NULL,NULL,NULL
180,13,5,1977.1930,800,22900,2,7000,NULL,23261,34892
181,35,2,12065.4605,200,16158,25,10772,NULL,NULL,NULL
182,6,1,1407.1429,200,10700,0,,NULL,NULL,NULL
183,65,5,15853.8715,200,21963,50,14642,NULL,NULL,NULL
184,36,3,21490.9412,600,29546,28,19697,NULL,NULL,NULL
185,19,1,21526.8893,1000,28846,15,19231,NULL,NULL,NULL
186,107,5,40013.8144,700,49065,2,12000,NULL,NULL,NULL
187,1,0,NULL,200,200,0,,4197,NULL,NULL
188,71,6,20973.3592,700,29120,56,19413,NULL,NULL,NULL
189,22,2,23109.9668,600,31530,16,21020,NULL,NULL,NULL
190,51,4,19329.7180,500,26334,38,17556,NULL,NULL,NULL
191,1,0,NULL,600,600,0,,NULL,44209,66314
192,1,0,NULL,300,300,0,,5859,NULL,NULL
193,28,2,11984.0443,300,15999,20,10666,NULL,NULL,NULL
194,14,2,1396.2963,400,11000,2,900,NULL,3973,3973
195,24,2,16406.6667,600,21924,18,14616,NULL,NULL,NULL
196,76,5,14673.2253,200,19408,50,12939,NULL,NULL,NULL
197,74,6,23533.1943,700,32577,58,21718,NULL,NULL,NULL
198,1,0,NULL,900,900,0,,4299,NULL,NULL
199,1,0,NULL,700,700,0,,NULL,2977,2977
200,60,4,10300.3519,900,26000,45,8614,NULL,NULL,NULL
201,54,4,17467.7051,600,23752,41,15835,NULL,NULL,NULL
204,1,0,NULL,600,600,0,,NULL,2926,2926
205,22,1,9214.4159,300,10400,12,6446,NULL,NULL,NULL
206,74,4,6460.0222,200,10600,37,4353,NULL,NULL,NULL
207,90,5,6357.4212,100,9300,54,5135,NULL,NULL,NULL
208,38,3,16658.5584,100,22494,27,14996,NULL,NULL,NULL
209,15,2,1680.0000,400,12200,2,900,NULL,3481,3481
210,36,3,18263.4665,700,25100,27,16733,NULL,NULL,NULL
211,30,1,42221.5076,800,48433,0,,NULL,NULL,NULL
212,4,3,558.3333,200,10800,0,,NULL,49590,74385
213,41,3,26442.8357,1000,36408,33,24272,NULL,NULL,NULL
214,1,0,NULL,500,500,0,,NULL,3146,3146
215,1,0,NULL,1000,1000,0,,NULL,3182,3182
216,1,0,NULL,500,500,0,,6460,NULL,NULL
217,50,4,12045.9395,800,16614,39,11076,NULL,NULL,NULL
218,70,3,51884.4857,500,49217,0,,NULL,NULL,NULL
219,41,3,19186.7313,500,26649,32,17766,NULL,NULL,NULL
220,1,0,NULL,400,400,0,,5271,NULL,NULL
221,28,2,23897.4935,300,32151,21,21434,NULL,NULL,NULL
222,2,1,200.0000,500,1700,0,,NULL,34409,51614
223,23,3,8176.8974,200,46867,2,800,NULL,NULL,NULL
224,1,0,NULL,1100,1100,0,,5776,NULL,NULL
225,114,5,8470.3929,100,15400,54,5078,NULL,NULL,NULL
226,33,2,22268.6371,600,28588,18,19059,NULL,NULL,NULL
227,1,0,NULL,700,700,0,,NULL,44692,67038
228,66,5,23363.3596,200,32403,52,21602,NULL,NULL,NULL
229,1,0,NULL,1100,1100,0,,5492,NULL,NULL
230,36,3,19277.7098,600,26240,28,17493,NULL,NULL,NULL
231,1,0,NULL,900,900,0,,NULL,3110,3110
232,15,1,25968.7599,700,33514,10,22343,NULL,NULL,NULL
234,1,0,NULL,500,500,0,,5810,NULL,NULL
235,1,0,NULL,1000,1000,0,,NULL,3324,3324
236,11,3,1203.0303,800,12800,2,3500,NULL,NULL,NULL
237,1,0,NULL,900,900,0,,NULL,2910,2910
238,1,0,NULL,500,500,0,,NULL,3351,3351
239,114,6,35935.8000,300,49429,2,3600,NULL,NULL,NULL
240,22,2,25381.8367,300,33858,16,22572,NULL,NULL,NULL
241,15,2,1481.4815,200,10300,2,500,NULL,3880,3880
242,30,2,25825.4403,500,34989,23,23326,NULL,NULL,NULL
243,95,5,42464.9741,200,49503,0,,NULL,NULL,NULL
244,35,6,1214.7059,100,10100,3,600,NULL,3972,3972
245,88,5,26058.4827,600,47784,2,7300,NULL,NULL,NULL
246,1,0,NULL,700,700,0,,4486,NULL,NULL
248,1,0,NULL,700,700,0,,NULL,24849,37274
249,27,2,19824.8980,600,26390,20,17593,NULL,NULL,NULL
250,27,2,7586.9948,300,15200,15,5411,NULL,NULL,NULL
251,41,3,10983.2822,900,13436,27,8957,NULL,NULL,NULL
252,1,0,NULL,1000,1000,0,,5798,NULL,NULL
253,38,3,24716.3388,1100,33464,30,22309,NULL,NULL,NULL
255,1,0,NULL,900,900,0,,NULL,38167,57250
256,44,4,20448.1283,1100,28440,35,18960,NULL,NULL,NULL
257,46,3,21945.5676,100,48963,2,1900,NULL,NULL,NULL
258,1,0,NULL,900,900,0,,6177,NULL,NULL
259,1,0,NULL,600,600,0,,6523,NULL,NULL
260,54,3,10920.3655,600,14100,31,7871,NULL,NULL,NULL
261,3,0,3833.3333,200,9800,0,,NULL,3851,3851
262,11,3,1202.9412,200,9800,3,2500,NULL,NULL,NULL
263,41,2,36296.3083,500,43980,0,,NULL,NULL,NULL
264,57,3,7545.3609,100,10900,29,4961,NULL,NULL,NULL
265,1,0,NULL,600,600,0,,6135,NULL,NULL
266,2,1,222.2222,400,1600,0,,NULL,49752,74628
267,1,0,NULL,500,500,0,,4847,NULL,NULL
268,36,2,29858.4906,500,49695,2,1500,NULL,NULL,NULL
269,16,2,1900.0000,400,12000,2,3000,NULL,3219,3219
270,49,4,25663.8494,1100,35636,39,23757,NULL,NULL,NULL
271,1,0,NULL,400,400,0,,6906,NULL,NULL
272,27,2,21903.5180,1100,29762,21,19841,NULL,NULL,NULL
273,32,5,1480.0000,100,10400,3,700,NULL,13201,19802
274,68,5,22043.7494,300,30597,53,20398,NULL,NULL,NULL
275,1,0,NULL,800,800,0,,NULL,3390,3390
276,1,0,NULL,700,700,0,,NULL,26823,40234
277,81,5,29161.6021,100,49441,2,1000,NULL,NULL,NULL
278,34,3,22958.0450,700,31124,27,20749,NULL,NULL,NULL
279,1,0,NULL,400,400,0,,NULL,3007,3007
280,88,6,13537.2313,100,18065,59,12043,NULL,NULL,NULL
281,44,2,13726.5410,100,21400,21,8367,NULL,NULL,NULL
282,20,2,22569.3068,200,30992,15,20661,NULL,NULL,NULL
283,1,0,NULL,800,800,0,,4839,NULL,NULL
284,5,1,2066.6667,900,8600,0,,NULL,19419,29128
285,47,4,21751.3720,600,29621,36,19747,NULL,NULL,NULL
286,35,3,25627.3785,300,35096,27,23397,NULL,NULL,NULL
287,1,0,NULL,600,600,0,,4562,NULL,NULL
288,1,0,NULL,900,900,0,,5315,NULL,NULL
289,60,5,18836.8732,300,26172,47,17448,NULL,NULL,NULL
290,100,5,34302.5082,200,48476,2,16100,NULL,NULL,NULL
291,48,2,70968.9223,1100,49655,0,,NULL,NULL,NULL
292,1,0,NULL,400,400,0,,4696,NULL,NULL
293,23,2,12964.1379,600,16155,16,10770,NULL,NULL,NULL
294,26,2,17178.1116,700,22935,19,15290,NULL,NULL,NULL
295,14,1,24077.4142,200,31446,10,20964,NULL,NULL,NULL
296,7,2,718.1818,200,11200,0,,NULL,3970,3970
297,71,2,7774.3780,200,46581,29,1100,NULL,NULL,NULL
298,17,1,14704.0800,600,17597,10,11731,NULL,NULL,NULL
299,112,6,39293.7283,600,49659,2,22421,NULL,NULL,NULL
300,1,0,NULL,400,400,0,,6892,NULL,NULL
301,1,0,NULL,300,300,0,,NULL,2925,2925
302,1,0,NULL,1100,1100,0,,6438,NULL,NULL
303,33,2,17532.7926,900,23108,24,15405,NULL,NULL,NULL
304,1,0,NULL,700,700,0,,NULL,33176,49764
305,1,0,NULL,200,200,0,,4430,NULL,NULL
306,83,6,6541.6079,100,8600,55,5486,NULL,NULL,NULL
307,18,1,25103.0675,700,33120,14,22080,NULL,NULL,NULL
308,26,3,1786.8421,100,13700,3,1400,NULL,NULL,NULL
309,22,2,21516.1616,900,28726,16,19151,NULL,NULL,NULL
311,21,1,18805.2245,800,24288,14,16192,NULL,NULL,NULL
312,44,3,13562.3012,500,17595,30,11730,NULL,NULL,NULL
313,1,0,NULL,700,700,0,,NULL,3442,3442
314,4,1,691.6667,600,4200,0,,NULL,36897,55346
315,7,1,2381.8182,200,11700,0,,NULL,NULL,NULL
316,49,2,7649.7453,100,42752,20,1100,NULL,NULL,NULL
317,1,0,NULL,800,800,0,,5922,NULL,NULL
318,83,4,6828.8155,200,12300,42,4288,NULL,NULL,NULL
319,74,3,44742.3499,200,49183,2,4100,NULL,NULL,NULL
320,63,2,7257.9683,200,30888,23,1300,NULL,NULL,NULL
321,1,0,NULL,1100,1100,0,,5163,NULL,NULL
322,74,6,17985.8058,100,24969,58,16646,NULL,NULL,NULL
323,1,0,NULL,200,200,0,,6836,NULL,NULL
324,1,0,NULL,500,500,0,,5279,NULL,NULL
325,1,0,NULL,300,300,0,,5849,NULL,NULL
326,1,0,NULL,1000,1000,0,,5376,NULL,NULL
327,76,6,17306.6534,300,23562,55,15708,NULL,NULL,NULL
328,1,0,NULL,600,600,0,,6973,NULL,NULL
329,27,2,26143.2907,1100,35763,21,23842,NULL,NULL,NULL
330,26,2,24914.1509,400,33590,20,22393,NULL,NULL,NULL
331,1,0,NULL,1100,1100,0,,6682,NULL,NULL
332,21,2,1340.0000,100,12600,5,2500,NULL,3727,3727
333,1,0,NULL,700,700,0,,NULL,2998,2998
334,71,6,20052.6815,500,27558,55,18372,NULL,NULL,NULL
335,1,0,NULL,1000,1000,0,,5715,NULL,NULL
336,40,3,20103.2199,500,27706,31,18471,NULL,NULL,NULL
337,45,3,29159.7594,200,49461,0,,NULL,NULL,NULL
338,6,2,952.6316,300,7700,0,,NULL,3378,3378
339,2,2,153.8462,400,3600,0,,NULL,46807,70210
340,1,0,NULL,1000,1000,0,,5774,NULL,NULL
341,27,2,16908.9453,600,22940,20,15293,NULL,NULL,NULL
342,1,0,NULL,1000,1000,0,,NULL,3498,3498
343,20,4,766.6667,100,12100,4,900,NULL,3758,3758
344,67,5,15390.6390,600,20922,50,13948,NULL,NULL,NULL
345,71,5,18163.2468,200,24646,50,16431,NULL,NULL,NULL
346,75,6,21497.2284,800,29903,59,19935,NULL,NULL,NULL
347,89,5,32627.3115,100,49999,0,,NULL,NULL,NULL
348,39,3,19940.4032,500,27429,30,18286,NULL,NULL,NULL
349,32,2,9693.2182,500,10486,15,6991,NULL,NULL,NULL
350,1,0,NULL,500,500,0,,6309,NULL,NULL
351,54,2,7946.9955,600,39533,23,1800,NULL,NULL,NULL
352,1,0,NULL,200,200,0,,4351,NULL,NULL
353,1,0,NULL,1000,1000,0,,6676,NULL,NULL
354,75,5,12855.2730,100,17199,51,11466,NULL,NULL,NULL
355,24,3,2980.0000,200,13600,2,700,NULL,11909,17864
356,35,3,19954.3713,1000,27624,27,18416,NULL,NULL,NULL
357,1,0,NULL,1000,1000,0,,NULL,3103,3103
358,9,2,840.9091,100,9600,2,600,NULL,3099,3099
359,1,0,NULL,400,400,0,,5316,NULL,NULL
360,32,3,26299.0213,1100,36306,25,24204,NULL,NULL,NULL
361,72,6,25598.0266,600,35457,58,23638,NULL,NULL,NULL
362,101,6,11782.9327,100,14313,57,9542,NULL,NULL,NULL
363,86,5,41870.0530,300,49327,0,,NULL,NULL,NULL
364,1,0,NULL,1100,1100,0,,NULL,3332,3332
365,8,5,412.7273,200,7200,0,,NULL,17660,26490
366,28,2,23946.2629,200,32543,21,21695,NULL,NULL,NULL
367,22,2,15874.5798,400,20577,16,13718,NULL,NULL,NULL
368,79,5,9315.5662,100,12621,55,8414,NULL,NULL,NULL
370,1,0,NULL,700,700,0,,NULL,3113,3113
371,48,2,6002.1379,400,47575,29,1300,NULL,NULL,NULL
372,43,3,24713.5013,400,33594,33,22396,NULL,NULL,NULL
373,45,2,12529.5884,800,14519,25,9679,NULL,NULL,NULL
374,8,5,393.5484,400,5000,0,,NULL,23041,34562
375,1,0,NULL,1100,1100,0,,5736,NULL,NULL
376,47,4,26683.5533,700,36776,38,24517,NULL,NULL,NULL
377,101,4,41609.2269,200,49074,2,300,NULL,NULL,NULL
378,73,2,68101.5172,900,49711,0,,NULL,NULL,NULL
379,12,3,645.1613,200,7100,2,900,NULL,3727,3727
381,75,5,9139.9244,300,12314,55,8209,NULL,NULL,NULL
382,1,0,NULL,700,700,0,,NULL,3415,3415
383,1,0,NULL,600,600,0,,NULL,3086,3086
384,31,1,56224.0577,1000,44765,0,,NULL,NULL,NULL
385,1,0,NULL,1000,1000,0,,NULL,3469,3469
386,19,1,20538.3573,1000,26636,14,17757,NULL,NULL,NULL
387,17,1,23715.4267,200,47926,0,,NULL,NULL,NULL
388,71,4,13113.7877,400,15536,38,10357,NULL,NULL,NULL
389,85,5,7434.4157,300,9371,53,6247,NULL,NULL,NULL
390,92,3,66123.4384,100,49514,2,5300,NULL,NULL,NULL
391,156,5,6661.2930,100,37352,62,1000,NULL,NULL,NULL
392,40,2,15950.4205,300,20199,24,13466,NULL,NULL,NULL
393,49,4,26992.8683,500,37149,39,24766,NULL,NULL,NULL
395,71,6,23700.0000,400,33081,57,22054,NULL,NULL,NULL
396,71,6,24983.7941,1000,34902,57,23268,NULL,NULL,NULL
397,5,5,336.0656,400,12600,0,,NULL,30905,46358
398,1,0,NULL,300,300,0,,4839,NULL,NULL
399,44,2,33302.8889,800,48884,2,8000,NULL,NULL,NULL
400,70,5,15086.6904,600,20666,54,13777,NULL,NULL,NULL
401,74,6,13898.2542,300,19226,59,12817,NULL,NULL,NULL
402,17,1,22261.0667,800,29992,12,19995,NULL,NULL,NULL
403,1,0,NULL,600,600,0,,5563,NULL,NULL
404,6,3,641.6667,300,8400,0,,NULL,32381,48572
405,30,2,36683.0663,500,49985,0,,NULL,NULL,NULL
406,1,0,NULL,700,700,0,,NULL,3096,3096
407,24,2,19102.9725,400,48632,0,,NULL,NULL,NULL
408,72,5,14757.6171,400,19956,54,13304,NULL,NULL,NULL
409,37,2,11531.8880,100,15322,25,10215,NULL,NULL,NULL
410,1,0,NULL,200,200,0,,5738,NULL,NULL
411,76,6,20226.4967,400,27746,59,18497,NULL,NULL,NULL
412,54,3,32317.2023,700,48001,2,35285,NULL,NULL,NULL
413,1,0,NULL,200,200,0,,5041,NULL,NULL
414,38,3,19819.0258,900,27102,29,18068,NULL,NULL,NULL
415,80,6,14587.7493,400,19665,58,13110,NULL,NULL,NULL
416,1,0,NULL,500,500,0,,5155,NULL,NULL
417,50,3,39725.5043,300,49903,0,,NULL,NULL,NULL
418,42,3,22824.8457,700,31318,33,20879,NULL,NULL,NULL
419,81,5,5769.4771,600,7800,51,4600,NULL,NULL,NULL
420,50,3,13221.0050,100,17366,33,11577,NULL,NULL,NULL
421,15,1,10067.9357,900,12536,10,8357,NULL,NULL,NULL
422,1,0,NULL,400,400,0,,NULL,25207,37810
423,1,0,NULL,500,500,0,,NULL,2913,2913
424,24,2,25846.3720,1000,35180,18,23453,NULL,NULL,NULL
425,101,6,7544.1404,100,9600,57,5893,NULL,NULL,NULL
426,89,5,25462.9201,100,49937,2,12300,NULL,NULL,NULL
427,59,4,25148.5016,200,34622,44,23081,NULL,NULL,NULL
428,1,0,NULL,200,200,0,,6614,NULL,NULL
429,42,3,20120.6611,500,27596,33,18397,NULL,NULL,NULL
430,27,3,1900.0000,200,11500,2,4500,NULL,NULL,NULL
431,28,2,20467.7633,300,27356,21,18237,NULL,NULL,NULL
432,72,5,7824.7650,500,10486,55,6991,NULL,NULL,NULL
433,38,5,5273.4091,300,40525,3,1600,NULL,NULL,NULL
434,26,2,12165.2735,400,16432,20,10955,NULL,NULL,NULL
435,1,0,NULL,400,400,0,,5039,NULL,NULL
436,31,2,9080.6800,500,11814,24,7876,NULL,NULL,NULL
437,73,5,25781.3297,100,32478,50,21652,NULL,NULL,NULL
438,7,1,6921.7919,900,38198,0,,NULL,NULL,NULL
439,50,3,6600.9538,200,41361,32,1100,NULL,NULL,NULL
440,28,2,18193.8719,300,24695,20,16463,NULL,NULL,NULL
441,9,5,1018.9655,900,12900,2,9500,NULL,44730,67095
442,18,2,20162.4057,600,48885,0,,NULL,NULL,NULL
443,1,0,NULL,500,500,0,,NULL,3058,3058
444,45,3,8593.0380,400,10056,26,6704,NULL,NULL,NULL
445,5,4,266.6667,1100,6000,0,,NULL,18964,28446
446,67,5,25889.2661,1100,36240,55,24160,NULL,NULL,NULL
447,29,2,22325.2066,1100,30945,23,20630,NULL,NULL,NULL
449,1,0,NULL,900,900,0,,4456,NULL,NULL
450,1,0,NULL,1100,1100,0,,4393,NULL,NULL
451,28,4,1244.2308,200,12300,4,1300,NULL,NULL,NULL
452,50,3,35137.4932,500,48660,2,2500,NULL,NULL,NULL
453,22,2,27037.2344,1100,36146,16,24097,NULL,NULL,NULL
454,66,4,10720.2674,100,12797,35,8531,NULL,NULL,NULL
455,52,4,13959.4891,500,18764,36,12509,NULL,NULL,NULL
456,1,0,NULL,700,700,0,,NULL,47831,71746
