account_id,D_total_count,D_Total_Months,Total_D,D_monthly_average,D_min_val,D_max_val,D_count_of_the_mode,D_amount_mode,Pension,Base_Salary,Peak_Salary
117,1,0,900,0.0000,900,900,0,,4903,0,0
118,7,12,25200,2100.0000,600,10900,0,,0,3674,3674
119,68,68,1572131,23256.3757,800,32288,55,21525,0,0,0
120,62,42,1069679,25468.5476,400,48187,2,6800,0,0,0
121,9,14,26800,1914.2857,200,13100,3,1100,0,3175,3175
122,27,26,645057,25164.7724,900,33903,21,22602,0,0,0
123,1,0,200,0.0000,200,200,0,,4843,0,0
124,5,10,14800,1480.0000,100,10600,0,,0,2990,2990
125,38,28,978669,35459.0217,200,49487,0,,0,0,0
126,78,63,1598495,25332.7258,100,49750,3,3100,0,0,0
127,1,0,600,0.0000,600,600,0,,0,3364,3364
128,138,71,431946,6092.3272,100,38879,70,1800,0,0,0
129,1,0,600,0.0000,600,600,0,,6998,0,0
130,1,0,300,0.0000,300,300,0,,6813,0,0
131,47,43,491332,11524.5973,700,15534,35,10356,0,0,0
132,47,31,1278771,40682.0042,200,47976,2,200,0,0,0
133,29,15,691638,47589.7706,900,47803,0,,0,0,0
134,15,12,138802,11439.7253,300,14446,10,9631,0,0,0
135,95,67,397241,5946.7216,100,9200,55,4451,0,0,0
136,1,0,600,0.0000,600,600,0,,6378,0,0
137,30,29,731986,25154.1581,900,34814,24,23209,0,0,0
138,15,39,37600,964.1026,100,11200,3,1100,0,0,0
139,1,0,1000,0.0000,1000,1000,0,,0,32778,49167
140,14,28,184697,6557.2899,300,48742,2,300,0,0,0
141,1,0,900,0.0000,900,900,0,,0,30165,45248
142,1,0,900,0.0000,900,900,0,,4555,0,0
143,1,0,500,0.0000,500,500,0,,4924,0,0
144,32,21,804595,38436.0669,500,48271,0,,0,0,0
145,58,36,354194,9939.9626,200,10834,30,7223,0,0,0
146,1,0,500,0.0000,500,500,0,,6296,0,0
148,1,0,500,0.0000,500,500,0,,0,3468,3468
149,30,13,86503,6620.1276,300,14600,14,400,0,0,0
150,84,46,274893,6006.4020,200,46079,47,1900,0,0,0
151,83,64,368626,5762.7827,100,10700,53,4619,0,0,0
152,44,32,207418,6428.2438,300,9900,26,5129,0,0,0
153,3,29,7600,262.0690,400,6000,0,,0,13730,20595
154,57,54,830946,15284.1079,900,21114,45,14076,0,0,0
155,57,38,237948,6306.0424,100,12700,31,4483,0,0,0
156,1,0,1000,0.0000,1000,1000,0,,0,3481,3481
157,1,0,200,0.0000,200,200,0,,6918,0,0
158,46,45,1203552,26529.4342,700,36822,37,24548,0,0,0
159,24,22,533396,24172.0242,800,33081,18,22054,0,0,0
160,88,64,934391,14561.9377,100,18600,53,11889,0,0,0
161,1,0,900,0.0000,900,900,0,,4419,0,0
162,1,0,200,0.0000,200,200,0,,5188,0,0
163,1,0,900,0.0000,900,900,0,,6698,0,0
164,11,25,153705,6148.2000,200,47058,0,,0,0,0
165,1,0,1000,0.0000,1000,1000,0,,6864,0,0
166,1,0,800,0.0000,800,800,0,,4566,0,0
167,59,34,1396284,40707.9883,300,49608,2,3500,0,0,0
168,1,0,500,0.0000,500,500,0,,0,3020,3020
169,43,39,552660,14146.5870,300,19188,32,12792,0,0,0
170,32,30,562845,18951.0101,1000,25599,25,17066,0,0,0
171,1,0,500,0.0000,500,500,0,,6003,0,0
172,67,64,1562541,24351.2883,700,33584,53,22389,0,0,0
173,95,61,1314120,21437.5204,500,25970,50,17313,0,0,0
174,1,0,900,0.0000,900,900,0,,0,3377,3377
176,53,29,1475516,51712.0093,800,49285,0,,0,0,0
177,17,15,323025,21924.7738,800,29175,12,19450,0,0,0
178,1,0,1000,0.0000,1000,1000,0,,0,2981,2981
179,24,14,640345,44779.3706,200,49959,0,,0,0,0
180,13,57,112700,1977.1930,800,22900,2,7000,0,23261,34892
181,35,30,366790,12065.4605,200,16158,25,10772,0,0,0
182,6,14,19700,1407.1429,200,10700,0,,0,0,0
183,65,61,962330,15853.8715,200,21963,50,14642,0,0,0
184,36,34,730692,21490.9412,600,29546,28,19697,0,0,0
185,19,17,376003,21526.8893,1000,28846,15,19231,0,0,0
186,107,65,2587560,40013.8144,700,49065,2,12000,0,0,0
187,1,0,200,0.0000,200,200,0,,4197,0,0
188,71,69,1442268,20973.3592,700,29120,56,19413,0,0,0
189,22,20,463740,23109.9668,600,31530,16,21020,0,0,0
190,51,46,891100,19329.7180,500,26334,38,17556,0,0,0
191,1,0,600,0.0000,600,600,0,,0,44209,66314
192,1,0,300,0.0000,300,300,0,,5859,0,0
193,28,24,288416,11984.0443,300,15999,20,10666,0,0,0
194,14,27,37700,1396.2963,400,11000,2,900,0,3973,3973
195,24,22,354384,16406.6667,600,21924,18,14616,0,0,0
196,76,62,905338,14673.2253,200,19408,50,12939,0,0,0
197,74,70,1655168,23533.1943,700,32577,58,21718,0,0,0
198,1,0,900,0.0000,900,900,0,,4299,0,0
199,1,0,700,0.0000,700,700,0,,0,2977,2977
200,60,54,556219,10300.3519,900,26000,45,8614,0,0,0
201,54,50,872803,17467.7051,600,23752,41,15835,0,0,0
204,1,0,600,0.0000,600,600,0,,0,2926,2926
205,22,14,131459,9214.4159,300,10400,12,6446,0,0,0
206,74,45,290701,6460.0222,200,10600,37,4353,0,0,0
207,90,66,416623,6357.4212,100,9300,54,5135,0,0,0
208,38,33,546956,16658.5584,100,22494,27,14996,0,0,0
209,15,25,42000,1680.0000,400,12200,2,900,0,3481,3481
210,36,33,609391,18263.4665,700,25100,27,16733,0,0,0
211,30,17,737469,42221.5076,800,48433,0,,0,0,0
212,4,36,20100,558.3333,200,10800,0,,0,49590,74385
213,41,40,1056832,26442.8357,1000,36408,33,24272,0,0,0
214,1,0,500,0.0000,500,500,0,,0,3146,3146
215,1,0,1000,0.0000,1000,1000,0,,0,3182,3182
216,1,0,500,0.0000,500,500,0,,6460,0,0
217,50,47,570576,12045.9395,800,16614,39,11076,0,0,0
218,70,35,1815957,51884.4857,500,49217,0,,0,0,0
219,41,40,759155,19186.7313,500,26649,32,17766,0,0,0
220,1,0,400,0.0000,400,400,0,,5271,0,0
221,28,26,613369,23897.4935,300,32151,21,21434,0,0,0
222,2,11,2200,200.0000,500,1700,0,,0,34409,51614
223,23,39,318899,8176.8974,200,46867,2,800,0,0,0
224,1,0,1100,0.0000,1100,1100,0,,5776,0,0
225,114,65,553399,8470.3929,100,15400,54,5078,0,0,0
226,33,22,484714,22268.6371,600,28588,18,19059,0,0,0
227,1,0,700,0.0000,700,700,0,,0,44692,67038
228,66,63,1481237,23363.3596,200,32403,52,21602,0,0,0
229,1,0,1100,0.0000,1100,1100,0,,5492,0,0
230,36,34,650944,19277.7098,600,26240,28,17493,0,0,0
231,1,0,900,0.0000,900,900,0,,0,3110,3110
232,15,13,328072,25968.7599,700,33514,10,22343,0,0,0
234,1,0,500,0.0000,500,500,0,,5810,0,0
235,1,0,1000,0.0000,1000,1000,0,,0,3324,3324
236,11,33,39700,1203.0303,800,12800,2,3500,0,0,0
237,1,0,900,0.0000,900,900,0,,0,2910,2910
238,1,0,500,0.0000,500,500,0,,0,3351,3351
239,114,70,2515506,35935.8000,300,49429,2,3600,0,0,0
240,22,20,497484,25381.8367,300,33858,16,22572,0,0,0
241,15,27,40000,1481.4815,200,10300,2,500,0,3880,3880
242,30,28,713643,25825.4403,500,34989,23,23326,0,0,0
243,95,58,2458722,42464.9741,200,49503,0,,0,0,0
244,35,68,82600,1214.7059,100,10100,3,600,0,3972,3972
245,88,62,1608677,26058.4827,600,47784,2,7300,0,0,0
246,1,0,700,0.0000,700,700,0,,4486,0,0
248,1,0,700,0.0000,700,700,0,,0,24849,37274
249,27,25,485710,19824.8980,600,26390,20,17593,0,0,0
250,27,19,146429,7586.9948,300,15200,15,5411,0,0,0
251,41,33,358055,10983.2822,900,13436,27,8957,0,0,0
252,1,0,1000,0.0000,1000,1000,0,,5798,0,0
253,38,37,904618,24716.3388,1100,33464,30,22309,0,0,0
255,1,0,900,0.0000,900,900,0,,0,38167,57250
256,44,44,892220,20448.1283,1100,28440,35,18960,0,0,0
257,46,37,811986,21945.5676,100,48963,2,1900,0,0,0
258,1,0,900,0.0000,900,900,0,,6177,0,0
259,1,0,600,0.0000,600,600,0,,6523,0,0
260,54,38,418250,10920.3655,600,14100,31,7871,0,0,0
261,3,3,11500,0.0000,200,9800,0,,0,3851,3851
262,11,34,40900,1202.9412,200,9800,3,2500,0,0,0
263,41,24,855383,36296.3083,500,43980,0,,0,0,0
264,57,35,261321,7545.3609,100,10900,29,4961,0,0,0
265,1,0,600,0.0000,600,600,0,,6135,0,0
266,2,9,2000,222.2222,400,1600,0,,0,49752,74628
267,1,0,500,0.0000,500,500,0,,4847,0,0
268,36,30,896750,29858.4906,500,49695,2,1500,0,0,0
269,16,26,49400,1900.0000,400,12000,2,3000,0,3219,3219
270,49,47,1215611,25663.8494,1100,35636,39,23757,0,0,0
271,1,0,400,0.0000,400,400,0,,6906,0,0
272,27,26,566571,21903.5180,1100,29762,21,19841,0,0,0
273,32,65,96200,1480.0000,100,10400,3,700,0,13201,19802
274,68,65,1424761,22043.7494,300,30597,53,20398,0,0,0
275,1,0,800,0.0000,800,800,0,,0,3390,3390
276,1,0,700,0.0000,700,700,0,,0,26823,40234
277,81,57,1656379,29161.6021,100,49441,2,1000,0,0,0
278,34,33,747667,22958.0450,700,31124,27,20749,0,0,0
279,1,0,400,0.0000,400,400,0,,0,3007,3007
280,88,72,969717,13537.2313,100,18065,59,12043,0,0,0
281,44,26,351857,13726.5410,100,21400,21,8367,0,0,0
282,20,19,434083,22569.3068,200,30992,15,20661,0,0,0
283,1,0,800,0.0000,800,800,0,,4839,0,0
284,5,12,24800,2066.6667,900,8600,0,,0,19419,29128
285,47,44,951260,21751.3720,600,29621,36,19747,0,0,0
286,35,33,843995,25627.3785,300,35096,27,23397,0,0,0
287,1,0,600,0.0000,600,600,0,,4562,0,0
288,1,0,900,0.0000,900,900,0,,5315,0,0
289,60,58,1084376,18836.8732,300,26172,47,17448,0,0,0
290,100,61,2092453,34302.5082,200,48476,2,16100,0,0,0
291,48,19,1338947,70968.9223,1100,49655,0,,0,0,0
292,1,0,400,0.0000,400,400,0,,4696,0,0
293,23,19,250640,12964.1379,600,16155,16,10770,0,0,0
294,26,23,400250,17178.1116,700,22935,19,15290,0,0,0
295,14,13,304178,24077.4142,200,31446,10,20964,0,0,0
296,7,22,15800,718.1818,200,11200,0,,0,3970,3970
297,71,28,216646,7774.3780,200,46581,29,1100,0,0,0
298,17,13,183801,14704.0800,600,17597,10,11731,0,0,0
299,112,69,2719126,39293.7283,600,49659,2,22421,0,0,0
300,1,0,400,0.0000,400,400,0,,6892,0,0
301,1,0,300,0.0000,300,300,0,,0,2925,2925
302,1,0,1100,0.0000,1100,1100,0,,6438,0,0
303,33,29,504360,17532.7926,900,23108,24,15405,0,0,0
304,1,0,700,0.0000,700,700,0,,0,33176,49764
305,1,0,200,0.0000,200,200,0,,4430,0,0
306,83,67,439378,6541.6079,100,8600,55,5486,0,0,0
307,18,16,409180,25103.0675,700,33120,14,22080,0,0,0
308,26,38,67900,1786.8421,100,13700,3,1400,0,0,0
309,22,20,426020,21516.1616,900,28726,16,19151,0,0,0
311,21,16,307152,18805.2245,800,24288,14,16192,0,0,0
312,44,36,483270,13562.3012,500,17595,30,11730,0,0,0
313,1,0,700,0.0000,700,700,0,,0,3442,3442
314,4,12,8300,691.6667,600,4200,0,,0,36897,55346
315,7,11,26200,2381.8182,200,11700,0,,0,0,0
316,49,20,150190,7649.7453,100,42752,20,1100,0,0,0
317,1,0,800,0.0000,800,800,0,,5922,0,0
318,83,52,351684,6828.8155,200,12300,42,4288,0,0,0
319,74,38,1713632,44742.3499,200,49183,2,4100,0,0,0
320,63,23,167901,7257.9683,200,30888,23,1300,0,0,0
321,1,0,1100,0.0000,1100,1100,0,,5163,0,0
322,74,71,1272196,17985.8058,100,24969,58,16646,0,0,0
323,1,0,200,0.0000,200,200,0,,6836,0,0
324,1,0,500,0.0000,500,500,0,,5279,0,0
325,1,0,300,0.0000,300,300,0,,5849,0,0
326,1,0,1000,0.0000,1000,1000,0,,5376,0,0
327,76,67,1163584,17306.6534,300,23562,55,15708,0,0,0
328,1,0,600,0.0000,600,600,0,,6973,0,0
329,27,26,680597,26143.2907,1100,35763,21,23842,0,0,0
330,26,25,616210,24914.1509,400,33590,20,22393,0,0,0
331,1,0,1100,0.0000,1100,1100,0,,6682,0,0
332,21,30,40200,1340.0000,100,12600,5,2500,0,3727,3727
333,1,0,700,0.0000,700,700,0,,0,2998,2998
334,71,68,1353556,20052.6815,500,27558,55,18372,0,0,0
335,1,0,1000,0.0000,1000,1000,0,,5715,0,0
336,40,38,767943,20103.2199,500,27706,31,18471,0,0,0
337,45,37,1090575,29159.7594,200,49461,0,,0,0,0
338,6,19,18100,952.6316,300,7700,0,,0,3378,3378
339,2,26,4000,153.8462,400,3600,0,,0,46807,70210
340,1,0,1000,0.0000,1000,1000,0,,5774,0,0
341,27,25,422160,16908.9453,600,22940,20,15293,0,0,0
342,1,0,1000,0.0000,1000,1000,0,,0,3498,3498
343,20,54,41400,766.6667,100,12100,4,900,0,3758,3758
344,67,61,939342,15390.6390,600,20922,50,13948,0,0,0
345,71,62,1118856,18163.2468,200,24646,50,16431,0,0,0
346,75,72,1543501,21497.2284,800,29903,59,19935,0,0,0
347,89,61,1990266,32627.3115,100,49999,0,,0,0,0
348,39,37,741783,19940.4032,500,27429,30,18286,0,0,0
349,32,18,177709,9693.2182,500,10486,15,6991,0,0,0
350,1,0,500,0.0000,500,500,0,,6309,0,0
351,54,22,177218,7946.9955,600,39533,23,1800,0,0,0
352,1,0,200,0.0000,200,200,0,,4351,0,0
353,1,0,1000,0.0000,1000,1000,0,,6676,0,0
354,75,62,800455,12855.2730,100,17199,51,11466,0,0,0
355,24,35,104300,2980.0000,200,13600,2,700,0,11909,17864
356,35,33,666476,19954.3713,1000,27624,27,18416,0,0,0
357,1,0,1000,0.0000,1000,1000,0,,0,3103,3103
358,9,22,18500,840.9091,100,9600,2,600,0,3099,3099
359,1,0,400,0.0000,400,400,0,,5316,0,0
360,32,31,824036,26299.0213,1100,36306,25,24204,0,0,0
361,72,70,1798688,25598.0266,600,35457,58,23638,0,0,0
362,101,69,816950,11782.9327,100,14313,57,9542,0,0,0
363,86,57,2369845,41870.0530,300,49327,0,,0,0,0
364,1,0,1100,0.0000,1100,1100,0,,0,3332,3332
365,8,55,22700,412.7273,200,7200,0,,0,17660,26490
366,28,26,619410,23946.2629,200,32543,21,21695,0,0,0
367,22,19,308496,15874.5798,400,20577,16,13718,0,0,0
368,79,66,617001,9315.5662,100,12621,55,8414,0,0,0
370,1,0,700,0.0000,700,700,0,,0,3113,3113
371,48,29,174062,6002.1379,400,47575,29,1300,0,0,0
372,43,40,981126,24713.5013,400,33594,33,22396,0,0,0
373,45,30,375470,12529.5884,800,14519,25,9679,0,0,0
374,8,62,24400,393.5484,400,5000,0,,0,23041,34562
375,1,0,1100,0.0000,1100,1100,0,,5736,0,0
376,47,46,1226554,26683.5533,700,36776,38,24517,0,0,0
377,101,53,2206676,41609.2269,200,49074,2,300,0,0,0
378,73,29,1974944,68101.5172,900,49711,0,,0,0,0
379,12,31,20000,645.1613,200,7100,2,900,0,3727,3727
381,75,66,604149,9139.9244,300,12314,55,8209,0,0,0
382,1,0,700,0.0000,700,700,0,,0,3415,3415
383,1,0,600,0.0000,600,600,0,,0,3086,3086
384,31,15,845235,56224.0577,1000,44765,0,,0,0,0
385,1,0,1000,0.0000,1000,1000,0,,0,3469,3469
386,19,16,333406,20538.3573,1000,26636,14,17757,0,0,0
387,17,15,361265,23715.4267,200,47926,0,,0,0,0
388,71,46,609354,13113.7877,400,15536,38,10357,0,0,0
389,85,64,479272,7434.4157,300,9371,53,6247,0,0,0
390,92,35,2307708,66123.4384,100,49514,2,5300,0,0,0
391,156,61,407005,6661.2930,100,37352,62,1000,0,0,0
392,40,29,467879,15950.4205,300,20199,24,13466,0,0,0
393,49,47,1264166,26992.8683,500,37149,39,24766,0,0,0
395,71,70,1655050,23700.0000,400,33081,57,22054,0,0,0
396,71,70,1747200,24983.7941,1000,34902,57,23268,0,0,0
397,5,61,20500,336.0656,400,12600,0,,0,30905,46358
398,1,0,300,0.0000,300,300,0,,4839,0,0
399,44,27,899178,33302.8889,800,48884,2,8000,0,0,0
400,70,66,989184,15086.6904,600,20666,54,13777,0,0,0
401,74,72,995115,13898.2542,300,19226,59,12817,0,0,0
402,17,15,333916,22261.0667,800,29992,12,19995,0,0,0
403,1,0,600,0.0000,600,600,0,,5563,0,0
404,6,36,23100,641.6667,300,8400,0,,0,32381,48572
405,30,22,793577,36683.0663,500,49985,0,,0,0,0
406,1,0,700,0.0000,700,700,0,,0,3096,3096
407,24,21,394158,19102.9725,400,48632,0,,0,0,0
408,72,65,966132,14757.6171,400,19956,54,13304,0,0,0
409,37,30,350185,11531.8880,100,15322,25,10215,0,0,0
410,1,0,200,0.0000,200,200,0,,5738,0,0
411,76,71,1441475,20226.4967,400,27746,59,18497,0,0,0
412,54,35,1139720,32317.2023,700,48001,2,35285,0,0,0
413,1,0,200,0.0000,200,200,0,,5041,0,0
414,38,35,691684,19819.0258,900,27102,29,18068,0,0,0
415,80,70,1024060,14587.7493,400,19665,58,13110,0,0,0
416,1,0,500,0.0000,500,500,0,,5155,0,0
417,50,31,1234139,39725.5043,300,49903,0,,0,0,0
418,42,40,912233,22824.8457,700,31318,33,20879,0,0,0
419,81,62,360400,5769.4771,600,7800,51,4600,0,0,0
420,50,40,530603,13221.0050,100,17366,33,11577,0,0,0
421,15,12,125178,10067.9357,900,12536,10,8357,0,0,0
422,1,0,400,0.0000,400,400,0,,0,25207,37810
423,1,0,500,0.0000,500,500,0,,0,2913,2913
424,24,22,565174,25846.3720,1000,35180,18,23453,0,0,0
425,101,70,526581,7544.1404,100,9600,57,5893,0,0,0
426,89,61,1560877,25462.9201,100,49937,2,12300,0,0,0
427,59,53,1337062,25148.5016,200,34622,44,23081,0,0,0
428,1,0,200,0.0000,200,200,0,,6614,0,0
429,42,40,801473,20120.6611,500,27596,33,18397,0,0,0
430,27,40,76000,1900.0000,200,11500,2,4500,0,0,0
431,28,26,524657,20467.7633,300,27356,21,18237,0,0,0
432,72,67,521651,7824.7650,500,10486,55,6991,0,0,0
433,38,66,348045,5273.4091,300,40525,3,1600,0,0,0
434,26,24,289128,12165.2735,400,16432,20,10955,0,0,0
435,1,0,400,0.0000,400,400,0,,5039,0,0
436,31,28,258194,9080.6800,500,11814,24,7876,0,0,0
437,73,61,1576958,25781.3297,100,32478,50,21652,0,0,0
438,7,17,119747,6921.7919,900,38198,0,,0,0,0
439,50,33,214531,6600.9538,200,41361,32,1100,0,0,0
440,28,24,435440,18193.8719,300,24695,20,16463,0,0,0
441,9,58,59100,1018.9655,900,12900,2,9500,0,44730,67095
442,18,21,427443,20162.4057,600,48885,0,,0,0,0
443,1,0,500,0.0000,500,500,0,,0,3058,3058
444,45,32,271540,8593.0380,400,10056,26,6704,0,0,0
445,5,45,12000,266.6667,1100,6000,0,,0,18964,28446
446,67,67,1728540,25889.2661,1100,36240,55,24160,0,0,0
447,29,28,630315,22325.2066,1100,30945,23,20630,0,0,0
449,1,0,900,0.0000,900,900,0,,4456,0,0
450,1,0,1100,0.0000,1100,1100,0,,4393,0,0
451,28,52,64700,1244.2308,200,12300,4,1300,0,0,0
452,50,37,1289546,35137.4932,500,48660,2,2500,0,0,0
453,22,20,534436,27037.2344,1100,36146,16,24097,0,0,0
454,66,44,467761,10720.2674,100,12797,35,8531,0,0,0
455,52,44,619336,13959.4891,500,18764,36,12509,0,0,0
456,1,0,700,0.0000,700,700,0,,0,47831,71746
458,45,43,771866,18161.5529,1100,25278,35,16852,0,0,0
459,22,46,45800,995.6522,100,13400,2,2000,0,0,0
460,1,0,1100,0.0000,1100,1100,0,,5922,0,0
461,1,0,600,0.0000,600,600,0,,6388,0,0
462,65,62,1389943,22478.8625,200,31163,50,20775,0,0,0
463,46,44,1106820,25269.8630,700,34185,36,22790,0,0,0
464,1,0,600,0.0000,600,600,0,,5264,0,0
465,26,51,72900,1429.4118,100,6800,3,1200,0,12785,19178
466,25,34,77200,2270.5882,200,15000,2,3000,0,0,0
467,81,64,757462,11928.5354,400,15374,52,10249,0,0,0
468,35,33,821280,24687.7756,400,34020,27,22680,0,0,0
469,22,17,94348,5528.2031,600,12100,14,4008,0,0,0
470,77,57,546425,9536.2129,300,11872,47,7915,0,0,0
471,56,43,493621,11533.2009,200,14962,35,9975,0,0,0
472,2,21,2400,114.2857,300,2100,0,,0,49201,73802
473,28,26,338269,13060.5792,1100,17451,21,11634,0,0,0
474,17,36,52000,1444.4444,600,9500,2,900,0,3451,3451
475,1,0,200,0.0000,200,200,0,,4319,0,0
476,10,20,36700,1835.0000,1000,9100,0,,0,0,0
477,73,72,1264084,17654.8045,900,24588,59,16392,0,0,0
478,55,54,1363480,25422.2498,400,35496,44,23664,0,0,0
479,1,0,1100,0.0000,1100,1100,0,,0,3097,3097
