account_id,yr,mon,date,M_IN,M_OUT,Balance
2,1996,6,1996-06-12,38019,10181,27838
2,1996,7,1996-07-12,20436,37325,-16889
2,1996,8,1996-08-12,20404,10781,9623
2,1996,9,1996-09-12,20396,32522,-12126
2,1996,10,1996-10-12,23707,10781,12926
2,1996,11,1996-11-12,20428,16481,3947
2,1996,12,1996-12-12,30558,26681,3877
2,1997,1,1997-01-12,20393,43981,-23588
2,1997,2,1997-02-12,26487,17281,9206
2,1997,3,1997-03-12,20408,14205,6203
2,1997,4,1997-04-12,20437,12181,8256
2,1997,5,1997-05-12,20461,16717,3744
2,1997,6,1997-06-12,30512,60281,-29769
2,1997,7,1997-07-12,30608,9881,20727
2,1997,8,1997-08-12,20419,24847,-4428
2,1997,9,1997-09-12,20427,12081,8346
2,1997,10,1997-10-12,20433,20881,-448
2,1997,11,1997-11-12,20431,20281,150
2,1997,12,1997-12-12,30561,28481,2080
2,1998,1,1998-01-12,21687,43781,-22094
2,1998,2,1998-02-12,20375,11281,9094
2,1998,3,1998-03-12,20381,32200,-11819
2,1998,4,1998-04-12,22182,10681,11501
2,1998,5,1998-05-12,20390,24181,-3791
2,1998,6,1998-06-12,30555,18781,11774
2,1998,7,1998-07-12,20453,18681,1772
2,1998,8,1998-08-12,20430,27879,-7449
2,1998,9,1998-09-12,20431,19281,1150
2,1998,10,1998-10-12,20430,18381,2049
2,1998,11,1998-11-12,20409,29891,-9482
2,1998,12,1998-12-12,30511,24466,6045
3,1997,7,1997-07-07,8526,0,8526
3,1997,8,1997-08-11,15381,0,15381
3,1997,9,1997-09-11,7616,2400,5216
3,1997,10,1997-10-11,7625,6900,725
3,1997,11,1997-11-11,7627,7415,212
3,1997,12,1997-12-11,11366,14676,-3310
3,1998,1,1998-01-11,7581,21936,-14355
3,1998,2,1998-02-11,7759,5016,2743
3,1998,3,1998-03-11,13190,5016,8174
3,1998,4,1998-04-11,8604,8136,468
3,1998,5,1998-05-11,7603,5816,1787
3,1998,6,1998-06-11,11360,9416,1944
3,1998,7,1998-07-11,8625,5016,3609
3,1998,8,1998-08-11,8139,5216,2923
3,1998,9,1998-09-11,9549,5016,4533
3,1998,10,1998-10-11,9168,5016,4152
3,1998,11,1998-11-11,11880,7416,4464
3,1998,12,1998-12-11,11463,7561,3902
4,1996,2,1996-02-21,800,0,800
4,1996,3,1996-03-11,5553,0,5553
4,1996,4,1996-04-11,5553,0,5553
4,1996,5,1996-05-11,5553,0,5553
4,1996,6,1996-06-11,5553,0,5553
4,1996,7,1996-07-11,5620,3200,2420
4,1996,8,1996-08-11,5658,7478,-1820
4,1996,9,1996-09-11,5652,6678,-1026
4,1996,10,1996-10-11,5654,3378,2276
4,1996,11,1996-11-11,5663,3378,2285
4,1996,12,1996-12-11,5662,7868,-2206
4,1997,1,1997-01-11,5642,14608,-8966
4,1997,2,1997-02-11,5626,3378,2248
4,1997,3,1997-03-11,5632,5138,494
4,1997,4,1997-04-11,5637,3378,2259
4,1997,5,1997-05-11,5645,5698,-53
4,1997,6,1997-06-11,5627,8628,-3001
4,1997,7,1997-07-11,5634,3378,2256
4,1997,8,1997-08-11,5636,6378,-742
4,1997,9,1997-09-11,5640,5278,362
4,1997,10,1997-10-11,5639,4678,961
4,1997,11,1997-11-11,5642,4018,1624
4,1997,12,1997-12-11,5645,8158,-2513
4,1998,1,1998-01-11,5617,12278,-6661
4,1998,2,1998-02-11,5614,3378,2236
4,1998,3,1998-03-11,5624,3378,2246
4,1998,4,1998-04-11,5631,4178,1453
4,1998,5,1998-05-11,5639,3378,2261
4,1998,6,1998-06-11,5644,4658,986
4,1998,7,1998-07-11,5651,5218,433
4,1998,8,1998-08-11,5654,3378,2276
4,1998,9,1998-09-11,5664,3378,2286
4,1998,10,1998-10-11,5673,3378,2295
4,1998,11,1998-11-11,5683,3378,2305
4,1998,12,1998-12-11,5689,3963,1726
5,1997,5,1997-05-30,600,0,600
5,1997,6,1997-06-13,5017,0,5017
5,1997,7,1997-07-13,5017,0,5017
5,1997,8,1997-08-13,5017,0,5017
5,1997,9,1997-09-13,5017,0,5017
5,1997,10,1997-10-13,5021,15,5006
5,1997,11,1997-11-13,5130,2683,2447
5,1997,12,1997-12-13,5133,5693,-560
5,1998,1,1998-01-13,5118,10603,-5485
5,1998,2,1998-02-13,5115,2683,2432
5,1998,3,1998-03-13,5125,3483,1642
5,1998,4,1998-04-13,5130,4883,247
5,1998,5,1998-05-13,5131,5083,48
5,1998,6,1998-06-13,5132,3483,1649
5,1998,7,1998-07-13,5136,6783,-1647
5,1998,8,1998-08-13,5127,7783,-2656
5,1998,9,1998-09-13,5120,4023,1097
5,1998,10,1998-10-13,5127,2683,2444
5,1998,11,1998-11-13,5137,2783,2354
5,1998,12,1998-12-13,5139,6738,-1599
6,1994,9,1994-09-27,900,0,900
6,1994,10,1994-10-11,6669,0,6669
6,1994,11,1994-11-11,6669,0,6669
6,1994,12,1994-12-11,6669,0,6669
6,1995,1,1995-01-11,6669,0,6669
6,1995,2,1995-02-11,6739,10449,-3710
6,1995,3,1995-03-11,6776,3969,2807
6,1995,4,1995-04-11,6787,3969,2818
6,1995,5,1995-05-11,6795,8069,-1274
6,1995,6,1995-06-11,6784,7869,-1085
6,1995,7,1995-07-11,6789,3969,2820
6,1995,8,1995-08-11,6799,5669,1130
6,1995,9,1995-09-11,6805,4169,2636
6,1995,10,1995-10-11,6815,7969,-1154
6,1995,11,1995-11-11,6805,7009,-204
6,1995,12,1995-12-11,6808,5369,1439
6,1996,1,1996-01-11,6798,14539,-7741
6,1996,2,1996-02-11,6779,7249,-470
6,1996,3,1996-03-11,6782,4529,2253
6,1996,4,1996-04-11,6789,5489,1300
6,1996,5,1996-05-11,6798,3969,2829
6,1996,6,1996-06-11,6778,15569,-8791
6,1996,7,1996-07-11,6773,3969,2804
6,1996,8,1996-08-11,6784,3969,2815
6,1996,9,1996-09-11,6796,3969,2827
6,1996,10,1996-10-11,6806,5649,1157
6,1996,11,1996-11-11,6812,3969,2843
6,1996,12,1996-12-11,6813,8939,-2126
6,1997,1,1997-01-11,6790,16699,-9909
6,1997,2,1997-02-11,6774,3969,2805
6,1997,3,1997-03-11,6786,3969,2817
6,1997,4,1997-04-11,6797,3969,2828
6,1997,5,1997-05-11,6809,3969,2840
6,1997,6,1997-06-11,6817,6979,-162
6,1997,7,1997-07-11,6813,7729,-916
6,1997,8,1997-08-11,6814,5089,1725
6,1997,9,1997-09-11,6823,3969,2854
6,1997,10,1997-10-11,6835,3969,2866
6,1997,11,1997-11-11,6847,3969,2878
6,1997,12,1997-12-11,6857,5009,1848
6,1998,1,1998-01-11,6839,17019,-10180
6,1998,2,1998-02-11,6824,3969,2855
6,1998,3,1998-03-11,6831,6209,622
6,1998,4,1998-04-11,6838,3969,2869
6,1998,5,1998-05-11,6847,6209,638
6,1998,6,1998-06-11,6840,14049,-7209
6,1998,7,1998-07-11,6821,5169,1652
6,1998,8,1998-08-11,6830,3969,2861
6,1998,9,1998-09-11,6841,3969,2872
6,1998,10,1998-10-11,6844,7489,-645
6,1998,11,1998-11-11,6851,3969,2882
6,1998,12,1998-12-11,6862,4404,2458
7,1996,11,1996-11-24,900,0,900
7,1996,12,1996-12-07,34005,6600,27405
7,1997,1,1997-01-07,22780,12300,10480
7,1997,2,1997-02-07,22820,14500,8320
7,1997,3,1997-03-07,22846,22600,246
7,1997,4,1997-04-07,22851,18615,4236
7,1997,5,1997-05-07,22900,26795,-3895
7,1997,6,1997-06-07,34240,29195,5045
7,1997,7,1997-07-07,22900,25575,-2675
7,1997,8,1997-08-07,22888,22775,113
7,1997,9,1997-09-07,22896,19295,3601
7,1997,10,1997-10-07,22912,18495,4417
7,1997,11,1997-11-07,22921,23295,-374
7,1997,12,1997-12-07,34269,30695,3574
7,1998,1,1998-01-07,22916,34055,-11139
7,1998,2,1998-02-07,22903,13095,9808
7,1998,3,1998-03-07,22935,18795,4140
7,1998,4,1998-04-07,22950,19395,3555
7,1998,5,1998-05-07,22960,25355,-2395
7,1998,6,1998-06-07,34297,27075,7222
7,1998,7,1998-07-07,22981,19995,2986
7,1998,8,1998-08-07,22987,23515,-528
7,1998,9,1998-09-07,22982,22695,287
7,1998,10,1998-10-07,22972,26995,-4023
7,1998,11,1998-11-07,22961,23695,-734
7,1998,12,1998-12-07,34295,36380,-2085
8,1995,9,1995-09-21,900,0,900
8,1995,10,1995-10-07,24212,0,24212
8,1995,11,1995-11-07,20593,12000,8593
8,1995,12,1995-12-07,30874,16900,13974
8,1996,1,1996-01-07,20678,17700,2978
8,1996,2,1996-02-07,20722,18427,2295
8,1996,3,1996-03-07,20712,24039,-3327
8,1996,4,1996-04-07,20701,21739,-1038
8,1996,5,1996-05-07,20704,17339,3365
8,1996,6,1996-06-07,30954,35539,-4585
8,1996,7,1996-07-07,20684,22039,-1355
8,1996,8,1996-08-07,20685,19539,1146
8,1996,9,1996-09-07,20689,18239,2450
8,1996,10,1996-10-07,20682,28519,-7837
8,1996,11,1996-11-07,20658,22439,-1781
8,1996,12,1996-12-07,30905,28879,2026
8,1997,1,1997-01-07,20615,36899,-16284
8,1997,2,1997-02-07,20819,9339,11480
8,1997,3,1997-03-07,20660,15419,5241
8,1997,4,1997-04-07,20677,14739,5938
8,1997,5,1997-05-07,20694,17839,2855
8,1997,6,1997-06-07,30942,43559,-12617
8,1997,7,1997-07-07,20656,16339,4317
8,1997,8,1997-08-07,20665,18539,2126
8,1997,9,1997-09-07,20666,21039,-373
8,1997,10,1997-10-07,20663,21239,-576
8,1997,11,1997-11-07,20660,21139,-479
8,1997,12,1997-12-07,30917,25179,5738
8,1998,1,1998-01-07,20635,48099,-27464
8,1998,2,1998-02-07,24493,19899,4594
8,1998,3,1998-03-07,20613,13319,7294
8,1998,4,1998-04-07,20639,13239,7400
8,1998,5,1998-05-07,20658,17139,3519
8,1998,6,1998-06-07,36991,50139,-13148
8,1998,7,1998-07-07,20640,9839,10801
8,1998,8,1998-08-07,20690,11919,8771
8,1998,9,1998-09-07,20922,9339,11583
8,1998,10,1998-10-07,20760,14739,6021
8,1998,11,1998-11-07,20731,26939,-6208
8,1998,12,1998-12-07,31006,20944,10062
9,1993,1,1993-01-27,400,0,400
9,1993,2,1993-02-15,11705,0,11705
9,1993,3,1993-03-16,6654,0,6654
9,1993,4,1993-04-26,15130,6800,8330
9,1993,5,1993-05-14,910,4415,-3505
9,1993,6,1993-06-15,6486,8915,-2429
9,1993,7,1993-07-15,887,4465,-3578
9,1993,8,1993-08-15,2173,1315,858
9,1993,9,1993-09-16,4481,15,4466
9,1993,10,1993-10-16,3299,15,3284
9,1993,11,1993-11-15,910,115,795
9,1993,12,1993-12-16,909,2415,-1506
9,1994,1,1994-01-15,4300,11065,-6765
9,1994,2,1994-02-16,5484,15,5469
9,1994,3,1994-03-13,1199,1815,-616
9,1994,4,1994-04-15,1900,15,1885
9,1994,5,1994-05-14,12051,7115,4936
9,1994,6,1994-06-06,10055,20315,-10260
9,1994,7,1994-07-17,3185,1665,1520
9,1994,8,1994-08-17,5499,15,5484
9,1994,9,1994-09-13,913,1165,-252
9,1994,10,1994-10-13,2211,2215,-4
9,1994,11,1994-11-14,3718,365,3353
9,1994,12,1994-12-16,921,3315,-2394
9,1995,1,1995-01-13,11387,20115,-8728
9,1995,2,1995-02-17,4886,1065,3821
9,1995,3,1995-03-17,4503,15,4488
9,1995,4,1995-04-17,1817,15,1802
9,1995,5,1995-05-16,4225,2015,2210
9,1995,6,1995-06-15,2825,7165,-4340
9,1995,7,1995-07-13,912,815,97
9,1995,8,1995-08-17,1716,15,1701
9,1995,9,1995-09-14,5824,3615,2209
9,1995,10,1995-10-14,926,3715,-2789
9,1995,11,1995-11-15,4327,15,4312
9,1995,12,1995-12-16,46925,815,46110
9,1996,1,1996-01-14,1037,45715,-44678
9,1996,2,1996-02-15,940,2165,-1225
9,1996,3,1996-03-17,936,1615,-679
9,1996,4,1996-04-14,931,1615,-684
9,1996,5,1996-05-14,927,1915,-988
9,1996,6,1996-06-14,913,5165,-4252
9,1996,7,1996-07-13,903,4615,-3712
9,1996,8,1996-08-17,2096,1415,681
9,1996,9,1996-09-15,895,815,80
9,1996,10,1996-10-15,1699,1165,534
9,1996,11,1996-11-22,13809,15,13794
9,1996,12,1996-12-16,3637,8415,-4778
9,1997,1,1997-01-13,897,14065,-13168
9,1997,2,1997-02-16,1984,15,1969
9,1997,3,1997-03-14,888,1015,-127
9,1997,4,1997-04-16,870,5665,-4795
9,1997,5,1997-05-14,869,215,654
9,1997,6,1997-06-13,871,515,356
9,1997,7,1997-07-17,864,4515,-3651
9,1997,8,1997-08-15,856,15,841
9,1997,9,1997-09-14,860,15,845
9,1997,10,1997-10-11,69781,115,69666
9,1997,11,1997-11-13,1060,38115,-37055
9,1997,12,1997-12-14,939,18665,-17726
9,1998,1,1998-01-14,869,15765,-14896
9,1998,2,1998-02-13,863,15,848
9,1998,3,1998-03-15,866,15,851
9,1998,4,1998-04-14,27455,2015,25440
9,1998,5,1998-05-15,947,23165,-22218
9,1998,6,1998-06-15,923,3015,-2092
9,1998,7,1998-07-15,873,4915,-4042
9,1998,8,1998-08-14,1357,15,1342
9,1998,9,1998-09-08,14114,6415,7699
9,1998,10,1998-10-17,893,3415,-2522
9,1998,11,1998-11-14,4983,1965,3018
9,1998,12,1998-12-13,895,1100,-205
10,1996,8,1996-08-28,1100,0,1100
10,1996,9,1996-09-13,20898,0,20898
10,1996,10,1996-10-13,17785,7000,10785
10,1996,11,1996-11-13,17827,11500,6327
10,1996,12,1996-12-13,26699,17800,8899
10,1997,1,1997-01-13,17886,29155,-11269
10,1997,2,1997-02-13,17860,13448,4412
10,1997,3,1997-03-13,17882,16668,1214
10,1997,4,1997-04-13,17883,14648,3235
10,1997,5,1997-05-13,17882,21028,-3146
10,1997,6,1997-06-13,27391,30888,-3497
10,1997,7,1997-07-13,17866,16148,1718
10,1997,8,1997-08-13,17874,12148,5726
10,1997,9,1997-09-13,17896,14948,2948
10,1997,10,1997-10-13,17906,16448,1458
10,1997,11,1997-11-13,17910,17248,662
10,1997,12,1997-12-13,26756,30668,-3912
10,1998,1,1998-01-13,17866,27168,-9302
10,1998,2,1998-02-13,17863,12148,5715
10,1998,3,1998-03-13,17887,13248,4639
10,1998,4,1998-04-13,17900,15928,1972
10,1998,5,1998-05-13,17902,17788,114
10,1998,6,1998-06-13,26740,31768,-5028
10,1998,7,1998-07-13,17894,12348,5546
10,1998,8,1998-08-13,17918,11448,6470
10,1998,9,1998-09-13,17948,9048,8900
10,1998,10,1998-10-13,17969,17248,721
10,1998,11,1998-11-13,17969,21368,-3399
10,1998,12,1998-12-13,26794,31413,-4619
11,1995,10,1995-10-10,3804,0,3804
11,1995,11,1995-11-12,3510,0,3510
11,1995,12,1995-12-12,3510,0,3510
11,1996,1,1996-01-12,3510,0,3510
11,1996,2,1996-02-12,3539,2147,1392
11,1996,3,1996-03-12,3563,2147,1416
11,1996,4,1996-04-12,3569,2147,1422
11,1996,5,1996-05-12,3575,2147,1428
11,1996,6,1996-06-12,3581,2417,1164
11,1996,7,1996-07-12,3586,2147,1439
11,1996,8,1996-08-12,3592,2147,1445
11,1996,9,1996-09-12,3598,2147,1451
11,1996,10,1996-10-12,3604,2147,1457
11,1996,11,1996-11-12,3609,2747,862
11,1996,12,1996-12-12,3613,2537,1076
11,1997,1,1997-01-12,3615,4697,-1082
11,1997,2,1997-02-12,3609,3557,52
11,1997,3,1997-03-12,3611,3257,354
11,1997,4,1997-04-12,3615,2147,1468
11,1997,5,1997-05-12,3621,2147,1474
11,1997,6,1997-06-12,3625,3257,368
11,1997,7,1997-07-12,3629,2147,1482
11,1997,8,1997-08-12,3634,3447,187
11,1997,9,1997-09-12,3635,2957,678
11,1997,10,1997-10-12,3638,2147,1491
11,1997,11,1997-11-12,3644,2147,1497
11,1997,12,1997-12-12,3650,2657,993
11,1998,1,1998-01-12,3647,5927,-2280
11,1998,2,1998-02-12,3644,2747,897
11,1998,3,1998-03-12,3647,5747,-2100
11,1998,4,1998-04-12,3636,8847,-5211
11,1998,5,1998-05-12,3617,3917,-300
11,1998,6,1998-06-12,3615,4547,-932
11,1998,7,1998-07-12,3609,7847,-4238
11,1998,8,1998-08-12,3594,4277,-683
11,1998,9,1998-09-12,3590,4447,-857
11,1998,10,1998-10-12,3586,4847,-1261
11,1998,11,1998-11-12,3584,2147,1437
11,1998,12,1998-12-12,3588,2732,856
12,1997,4,1997-04-15,1100,0,1100
12,1997,5,1997-05-13,5938,0,5938
12,1997,6,1997-06-13,5938,0,5938
12,1997,7,1997-07-13,5981,1100,4881
12,1997,8,1997-08-13,6019,3200,2819
12,1997,9,1997-09-13,6036,1015,5021
12,1997,10,1997-10-13,6048,5287,761
12,1997,11,1997-11-13,6054,3607,2447
12,1997,12,1997-12-13,6053,9247,-3194
12,1998,1,1998-01-13,6024,14197,-8173
12,1998,2,1998-02-13,6004,7527,-1523
12,1998,3,1998-03-13,6010,3607,2403
12,1998,4,1998-04-13,6020,3607,2413
12,1998,5,1998-05-13,6030,3607,2423
12,1998,6,1998-06-13,6027,14607,-8580
12,1998,7,1998-07-13,6005,3607,2398
12,1998,8,1998-08-13,6015,3607,2408
12,1998,9,1998-09-13,6025,3607,2418
12,1998,10,1998-10-13,6026,5447,579
12,1998,11,1998-11-13,6037,3607,2430
12,1998,12,1998-12-13,6043,4842,1201
13,1997,8,1997-08-17,1000,0,1000
13,1997,9,1997-09-09,6803,0,6803
13,1997,10,1997-10-09,6803,0,6803
13,1997,11,1997-11-09,6848,1100,5748
13,1997,12,1997-12-09,6893,4300,2593
13,1998,1,1998-01-09,6887,15995,-9108
13,1998,2,1998-02-09,6870,4159,2711
13,1998,3,1998-03-09,6876,6459,417
13,1998,4,1998-04-09,6868,10359,-3491
13,1998,5,1998-05-09,6856,9259,-2403
13,1998,6,1998-06-09,6860,3559,3301
13,1998,7,1998-07-09,6863,8379,-1516
13,1998,8,1998-08-09,6854,8259,-1405
13,1998,9,1998-09-09,6852,6759,93
13,1998,10,1998-10-09,6865,2459,4406
13,1998,11,1998-11-09,6862,9659,-2797
13,1998,12,1998-12-09,6860,6794,66
14,1996,11,1996-11-27,400,0,400
14,1996,12,1996-12-10,24354,0,24354
14,1997,1,1997-01-10,14866,9000,5866
14,1997,2,1997-02-10,14888,9400,5488
14,1997,3,1997-03-10,14909,13900,1009
14,1997,4,1997-04-10,14911,17215,-2304
14,1997,5,1997-05-10,14926,15544,-618
14,1997,6,1997-06-10,22320,20444,1876
14,1997,7,1997-07-10,14932,13844,1088
14,1997,8,1997-08-10,14933,15144,-211
14,1997,9,1997-09-10,14935,12244,2691
14,1997,10,1997-10-10,14939,17344,-2405
14,1997,11,1997-11-10,14929,16644,-1715
14,1997,12,1997-12-10,22319,18244,4075
14,1998,1,1998-01-10,14933,18944,-4011
14,1998,2,1998-02-10,14925,13244,1681
14,1998,3,1998-03-10,14931,15044,-113
14,1998,4,1998-04-10,14934,11844,3090
14,1998,5,1998-05-10,14945,14244,701
14,1998,6,1998-06-10,22331,33044,-10713
14,1998,7,1998-07-10,14912,6644,8268
14,1998,8,1998-08-10,14946,9244,5702
14,1998,9,1998-09-10,14957,14944,13
14,1998,10,1998-10-10,14954,14444,510
14,1998,11,1998-11-10,14943,21344,-6401
14,1998,12,1998-12-10,22316,21329,987
15,1993,10,1993-10-02,17927,0,17927
15,1993,11,1993-11-06,21614,0,21614
15,1993,12,1993-12-06,25825,23300,2525
15,1994,1,1994-01-06,17241,15600,1641
15,1994,2,1994-02-06,17305,3087,14218
15,1994,3,1994-03-06,17292,36827,-19535
15,1994,4,1994-04-06,17274,15287,1987
15,1994,5,1994-05-06,17297,17187,110
15,1994,6,1994-06-06,29991,49807,-19816
15,1994,7,1994-07-06,17198,7687,9511
15,1994,8,1994-08-06,17234,12887,4347
15,1994,9,1994-09-06,17260,14787,2473
15,1994,10,1994-10-06,17258,18587,-1329
15,1994,11,1994-11-06,17253,16487,766
15,1994,12,1994-12-06,25807,20527,5280
15,1995,1,1995-01-06,17243,27047,-9804
15,1995,2,1995-02-06,17244,15987,1257
15,1995,3,1995-03-06,17249,16487,762
15,1995,4,1995-04-06,17253,15187,2066
15,1995,5,1995-05-06,17250,17487,-237
15,1995,6,1995-06-06,25788,24327,1461
15,1995,7,1995-07-06,17261,17187,74
15,1995,8,1995-08-06,17242,18267,-1025
15,1995,9,1995-09-06,17247,18187,-940
15,1995,10,1995-10-06,17245,14687,2558
15,1995,11,1995-11-06,17262,14087,3175
15,1995,12,1995-12-06,25826,23747,2079
15,1996,1,1996-01-06,17236,34727,-17491
15,1996,2,1996-02-06,17204,12687,4517
15,1996,3,1996-03-06,17220,14587,2633
15,1996,4,1996-04-06,17234,15587,1647
15,1996,5,1996-05-06,17235,15087,2148
15,1996,6,1996-06-06,25780,27847,-2067
15,1996,7,1996-07-06,17236,16287,949
15,1996,8,1996-08-06,17228,19507,-2279
15,1996,9,1996-09-06,17225,17647,-422
15,1996,10,1996-10-06,17227,17227,0
15,1996,11,1996-11-06,17217,19447,-2230
15,1996,12,1996-12-06,25750,22747,3003
15,1997,1,1997-01-06,17196,28927,-11731
15,1997,2,1997-02-06,17192,7007,10185
15,1997,3,1997-03-06,17217,16067,1150
15,1997,4,1997-04-06,17219,16867,352
15,1997,5,1997-05-06,17213,18587,-1374
15,1997,6,1997-06-06,25771,18887,6884
15,1997,7,1997-07-06,17223,26007,-8784
15,1997,8,1997-08-06,17208,14787,2421
15,1997,9,1997-09-06,17211,16687,524
15,1997,10,1997-10-06,17209,17327,-118
15,1997,11,1997-11-06,17209,17087,122
15,1997,12,1997-12-06,25760,21947,3813
15,1998,1,1998-01-06,17193,33667,-16474
15,1998,2,1998-02-06,17164,12887,4277
15,1998,3,1998-03-06,17166,20687,-3521
15,1998,4,1998-04-06,17160,15487,1673
15,1998,5,1998-05-06,17168,15687,1481
15,1998,6,1998-06-06,25677,33507,-7830
15,1998,7,1998-07-06,17143,13987,3156
15,1998,8,1998-08-06,17150,15587,1563
15,1998,9,1998-09-06,17206,18087,-881
15,1998,10,1998-10-06,17203,18487,-1284
15,1998,11,1998-11-06,17176,9567,7609
15,1998,12,1998-12-06,25789,5152,20637
16,1997,9,1997-09-23,500,0,500
16,1997,10,1997-10-06,22168,0,22168
16,1997,11,1997-11-06,20943,14600,6343
16,1997,12,1997-12-06,31395,22400,8995
16,1998,1,1998-01-06,20999,21000,-1
16,1998,2,1998-02-06,20997,22215,-1218
16,1998,3,1998-03-06,20993,21515,-522
16,1998,4,1998-04-06,20991,29815,-8824
16,1998,5,1998-05-06,20968,25035,-4067
16,1998,6,1998-06-06,31370,29555,1815
16,1998,7,1998-07-06,20937,26315,-5378
16,1998,8,1998-08-06,20919,23515,-2596
16,1998,9,1998-09-06,20913,27415,-6502
16,1998,10,1998-10-06,20880,23815,-2935
16,1998,11,1998-11-06,20865,24915,-4050
16,1998,12,1998-12-06,31379,2080,29299
17,1997,1,1997-01-08,700,0,700
17,1997,2,1997-02-07,12400,0,12400
17,1997,3,1997-03-09,2500,0,2500
17,1997,4,1997-04-08,300,0,300
17,1997,5,1997-05-08,0,1100,-1100
17,1997,6,1997-06-07,2300,0,2300
17,1997,7,1997-07-07,4100,0,4100
17,1997,8,1997-08-18,49300,0,49300
17,1997,9,1997-09-30,293,25500,-25207
17,1997,10,1997-10-31,293,10100,-9807
17,1997,11,1997-11-20,43288,3500,39788
17,1997,12,1997-12-31,312,23000,-22688
17,1998,1,1998-01-06,7855,13900,-6045
17,1998,2,1998-02-28,193,8000,-7807
17,1998,3,1998-03-31,193,3800,-3607
17,1998,4,1998-04-30,193,1800,-1607
17,1998,5,1998-05-21,28103,0,28103
