account_id,FeesOnTheAccount,T_Total_Months,T_Total_amount,T_monthly_average,W_Total_Months,W_count,W_Total_amount,W_monthly_average
120,30,40,158600,3965.0000,42,61,891220,21406.4051
121,15,9,21160,2351.1111,12,13,19780,1671.5493
122,15,0,0,0.0000,25,36,593300,23388.9619
123,15,65,196040,3016.0000,64,70,118550,1854.2753
124,15,7,14526,2075.1429,9,12,23340,2662.3574
125,100,0,0,0.0000,27,60,916544,34370.4000
126,15,56,413504,7384.0000,62,84,1143750,18447.5806
127,15,55,123310,2242.0000,51,46,60950,1188.8817
128,15,0,0,0.0000,68,124,369100,5417.3190
129,15,9,34170,3796.6667,12,16,52690,4503.4188
130,15,16,67473,4217.0625,18,27,55420,3056.2500
131,15,38,262352,6904.0000,41,46,196800,4772.8375
132,100,11,88440,8040.0000,31,78,1159357,37358.4425
133,30,12,130858,10904.8333,14,30,516457,37606.0922
134,15,0,0,0.0000,10,14,95000,9760.2740
135,15,0,0,0.0000,63,104,333500,5324.6408
136,15,25,76232,3049.2800,27,40,97150,3549.9391
137,15,24,102811,4283.7917,28,49,583520,20840.0000
138,0,0,0,0.0000,34,9,16400,482.3529
139,30,0,0,0.0000,19,45,639603,34573.1351
140,15,0,0,0.0000,28,22,142800,5087.8860
141,15,30,352354,11745.1333,33,54,715000,21492.9860
142,15,66,121770,1845.0000,66,81,180720,2732.6613
143,15,20,47712,2385.6000,20,26,54300,2674.8768
144,30,0,0,0.0000,20,51,723852,36435.5034
145,15,31,154080,4970.3226,33,47,143600,4299.4012
146,15,59,225557,3823.0000,57,58,144310,2551.1491
148,15,61,141032,2312.0000,59,72,64870,1108.8889
149,15,0,0,0.0000,10,8,34350,3565.7439
150,15,0,0,0.0000,40,72,261700,6542.5000
151,15,60,184740,3079.0000,61,68,163520,2674.8092
152,15,28,95732,3419.0000,29,37,95300,3286.2069
153,15,59,268096,4544.0000,62,90,663325,10762.4392
154,15,49,190659,3891.0000,53,107,559500,10643.6271
155,15,32,98604,3081.3750,35,44,123040,3515.4286
156,15,8,18270,2283.7500,8,6,15650,1932.0988
157,15,16,67847,4240.4375,17,20,45150,2599.8081
158,15,41,140220,3420.0000,45,88,1053260,23405.7778
159,15,17,156492,9205.4118,21,31,286000,13619.0476
160,15,60,473186,7886.4333,62,107,425360,6816.6667
161,15,50,112661,2253.2200,49,47,115680,2338.5445
162,15,60,207480,3458.0000,60,42,108570,1807.4917
163,15,67,249776,3728.0000,69,93,195750,2850.7282
164,0,0,0,0.0000,23,19,124300,5404.3478
165,15,62,110856,1788.0000,64,113,296580,4670.5512
166,15,23,73056,3176.3478,23,19,35950,1556.2771
167,30,0,0,0.0000,29,74,1352524,46638.7586
168,15,64,128832,2013.0000,64,69,64800,1014.0845
169,15,34,169150,4975.0000,38,60,324100,8634.9911
170,15,0,0,0.0000,28,57,512200,18184.6154
171,15,26,94122,3620.0769,25,37,78750,3137.4502
172,15,60,253260,4221.0000,63,128,1255060,20006.2699
173,15,57,595464,10446.7368,61,120,662440,10877.5041
174,15,22,49197,2236.2273,24,18,26660,1117.0391
176,30,25,149578,5983.1200,28,76,1259087,45619.0942
177,15,0,0,0.0000,12,17,263000,21209.6774
178,15,10,21857,2185.7000,11,10,9360,877.5000
179,30,11,150715,13701.3636,13,25,448026,35842.0800
180,30,0,0,0.0000,60,143,1571103,26155.9878
181,15,25,176280,7051.2000,29,53,162000,5670.9452
182,0,0,0,0.0000,7,3,9700,1385.7143
183,15,56,333424,5954.0000,59,88,590900,10089.3569
184,15,0,0,0.0000,32,64,669300,20915.6250
185,15,13,91364,7028.0000,16,32,222800,13530.3644
186,30,59,404858,6862.0000,64,123,2122706,33253.8799
187,15,64,179072,2798.0000,65,59,89430,1375.8462
188,15,63,467838,7426.0000,67,138,889820,13347.3000
189,15,15,85664,5710.9333,18,36,309960,17220.0000
190,15,41,373510,9110.0000,44,83,454300,10325.0000
191,15,0,0,0.0000,21,47,928922,45239.7078
192,15,67,240061,3583.0000,67,77,152280,2261.5842
193,15,19,142200,7484.2105,22,32,123080,5594.5455
194,15,24,66200,2758.3333,25,43,66500,2685.0606
195,15,16,106420,6651.2500,20,34,201900,10162.7517
196,15,57,484711,8503.7018,60,85,358400,5940.3315
197,15,66,623964,9454.0000,69,99,989340,14379.9419
198,15,57,163362,2866.0000,58,37,85980,1484.1197
199,15,21,43648,2078.4762,18,13,9210,517.4157
200,15,0,0,0.0000,52,80,471100,8979.0343
201,15,46,440864,9584.0000,48,94,394100,8210.4167
204,15,30,60450,2015.0000,29,31,19230,652.6018
205,15,9,42970,4774.4444,11,14,45280,4116.3636
206,15,40,116080,2902.0000,42,57,143680,3402.0521
207,15,61,188350,3087.7049,63,85,207300,3316.8000
208,15,28,215389,7692.4643,31,60,315900,10190.3226
209,15,20,46883,2344.1500,22,29,38620,1744.8795
210,15,27,210952,7813.0370,32,61,372280,11670.2194
211,15,0,0,0.0000,15,29,673450,44698.0089
212,30,66,913506,13841.0000,71,154,2846359,40146.1072
213,15,36,202500,5625.0000,39,83,824800,20987.2774
214,15,16,35649,2228.0625,16,18,16580,1008.9249
215,15,8,19089,2386.1250,6,6,8610,1388.7097
216,15,51,151463,2969.8627,52,84,188570,3661.5534
217,15,42,145278,3459.0000,45,64,405600,9107.7844
218,15,0,0,0.0000,33,90,1796875,54340.9778
219,15,35,186340,5324.0000,38,71,533380,13999.4751
220,15,64,198080,3095.0000,62,74,136390,2193.9410
221,15,21,173712,8272.0000,24,42,385100,16203.3661
222,15,0,0,0.0000,69,153,2536880,36713.1693
223,15,0,0,0.0000,41,43,301500,7335.7664
224,15,21,77066,3669.8095,22,29,56210,2551.1346
225,15,61,203102,3329.5410,59,79,266580,4510.6599
226,15,17,215376,12669.1765,20,33,228700,11415.9734
227,15,40,375240,9381.0000,44,86,1739095,39524.8864
228,15,59,240190,4071.0169,62,102,1184900,19121.5707
229,15,14,37575,2683.9286,14,21,44850,3322.2222
230,15,30,246000,8200.0000,32,62,397120,12410.0000
231,15,41,84993,2073.0000,33,55,40970,1247.8173
232,15,7,29144,4163.4286,12,17,219620,18878.5100
234,15,60,168540,2809.0000,61,73,197240,3221.1214
235,15,59,130744,2216.0000,54,65,67530,1242.8834
236,0,0,0,0.0000,19,15,26700,1405.2632
237,15,52,100880,1940.0000,48,47,53660,1117.1409
238,15,59,131806,2234.0000,60,72,67590,1122.1361
239,30,65,467133,7186.6615,69,127,2026529,29584.3650
240,15,15,153936,10262.4000,18,31,328660,18258.8889
241,15,22,58134,2642.4545,23,31,49370,2112.8388
242,15,23,95874,4168.4348,25,50,568480,22322.5131
243,30,55,168685,3067.0000,55,99,2284793,41291.4398
244,15,66,174768,2648.0000,69,109,143990,2095.9243
245,15,0,0,0.0000,60,122,1571939,26257.3330
246,15,6,13790,2298.3333,9,9,23960,2662.2222
248,15,0,0,0.0000,44,77,1189274,27008.4936
249,15,21,157374,7494.0000,23,41,311780,13477.5216
250,15,14,45990,3285.0000,17,24,54700,3301.8109
251,15,28,88711,3168.2500,30,55,238960,8036.7713
252,15,19,35340,1860.0000,18,25,57250,3105.7866
253,15,0,0,0.0000,36,70,806702,22702.6829
255,15,20,111783,5589.1500,24,59,881805,36041.0763
256,15,0,0,0.0000,43,81,882900,20532.5581
257,15,24,354150,14756.2500,34,34,456228,13537.9228
258,15,13,52318,4024.4615,13,16,36730,2930.5851
259,15,58,182932,3154.0000,59,83,210490,3575.7078
260,15,34,178398,5247.0000,37,56,204360,5523.2432
261,15,22,56537,2569.8636,25,20,39110,1558.1673
262,0,0,0,0.0000,18,10,18300,1016.6667
263,30,22,141335,6424.3182,24,50,667990,28185.2321
264,15,29,99210,3421.0345,32,37,130820,4126.8139
265,15,24,72500,3020.8333,26,38,93080,3607.7519
266,15,0,0,0.0000,55,160,2977426,54266.5735
267,15,40,122960,3074.0000,38,47,76410,2003.7587
268,15,23,74904,3256.6957,29,56,788030,27650.1754
269,15,22,49358,2243.5455,24,36,50370,2128.3099
270,15,42,229404,5462.0000,47,78,908800,19404.9822
271,15,23,36840,1601.7391,25,35,109460,4449.5935
272,15,20,156534,7826.7000,25,38,375900,15259.8106
273,100,61,486719,7979.0000,64,83,502096,7833.0109
274,15,59,583274,9886.0000,62,122,808080,12963.8503
275,15,31,70060,2260.0000,30,42,36690,1205.5860
276,15,7,46167,6595.2857,11,21,286993,26090.2727
277,100,0,0,0.0000,54,111,1573081,29095.2096
278,15,27,94136,3486.5185,32,60,564900,17820.1893
279,15,64,128256,2004.0000,62,67,50320,818.2114
280,15,67,533182,7957.9403,70,123,379640,5451.9866
281,15,21,122716,5843.6190,24,32,173200,7287.5175
282,15,13,116662,8974.0000,18,32,267720,14629.5082
283,15,26,75654,2909.7692,27,33,54200,2045.2830
284,15,11,67548,6140.7273,16,28,288106,18507.8801
285,15,0,0,0.0000,41,73,861600,20778.1350
286,15,28,285592,10199.7143,31,49,528380,17007.9399
287,15,58,135952,2344.0000,57,63,135680,2380.3509
288,15,41,142024,3464.0000,41,44,76020,1875.4934
289,15,53,440777,8316.5472,56,107,605400,10785.0356
290,15,56,455608,8135.8571,59,116,1611159,27292.3602
291,15,16,220717,13794.8125,18,53,1040439,57802.1667
292,15,16,33762,2110.1250,19,16,50670,2616.3511
293,15,15,61552,4103.4667,18,33,178620,9923.3333
294,15,18,124887,6938.1667,22,33,212700,9786.8098
295,15,7,55936,7990.8571,12,21,219740,17720.9677
296,15,29,79380,2737.2414,32,31,59080,1859.8111
297,15,0,0,0.0000,25,42,157850,6442.8571
298,15,0,0,0.0000,10,14,154820,14791.7197
299,15,0,0,0.0000,68,123,2652323,38795.5583
300,15,62,100936,1628.0000,63,116,289650,4622.0745
301,15,34,68250,2007.3529,35,30,25950,745.6897
302,15,27,90608,3355.8519,28,46,100940,3657.2464
303,15,24,116999,4874.9583,28,58,349900,12692.8658
304,15,16,244239,15264.9375,20,36,498942,24947.1000
305,15,21,64966,3093.6190,22,20,35250,1636.9969
306,15,62,226734,3657.0000,64,71,184560,2886.7570
307,15,0,0,0.0000,15,28,340800,22569.5364
308,0,0,0,0.0000,26,13,27600,1061.5385
309,15,0,1901,0.0000,18,50,401980,22208.8398
311,15,12,110282,9190.1667,15,41,134500,8790.8497
312,15,31,250048,8066.0645,34,54,177400,5243.3498
313,15,25,59644,2385.7600,25,30,20470,824.2953
314,100,31,480121,15487.7742,34,68,906638,26432.5948
315,0,0,0,0.0000,5,4,11200,2240.0000
316,15,0,0,0.0000,16,25,132100,8414.0127
317,15,65,199420,3068.0000,65,90,183500,2805.8104
318,15,47,134326,2858.0000,48,63,186500,3855.9614
319,30,36,242784,6744.0000,36,102,1400034,38782.1053
320,15,0,0,0.0000,20,35,126200,6363.0252
321,15,56,105056,1876.0000,58,78,198150,3420.3107
322,15,65,425750,6550.0000,69,125,819960,11900.7257
323,15,17,54450,3202.9412,18,28,77740,4375.6098
324,15,23,49656,2158.9565,24,30,62540,2624.0559
325,15,22,63043,2865.5909,23,26,76830,3359.9125
326,15,12,44824,3735.3333,14,12,30130,2162.4402
327,15,63,444591,7057.0000,67,133,666700,10000.5000
328,15,10,26752,2675.2000,12,18,66140,5466.1157
329,15,21,85844,4087.8095,25,40,524360,20780.4491
330,15,5,41448,8289.6000,24,53,551740,22862.1547
331,15,34,119952,3528.0000,35,54,129160,3669.3182
332,15,29,71550,2467.2414,33,48,77420,2377.2774
333,15,19,39668,2087.7895,16,19,13620,832.1792
334,15,62,219604,3542.0000,67,134,1053260,15743.7967
335,15,30,83607,2786.9000,31,49,91070,2912.6866
336,15,34,138278,4067.0000,36,72,578200,15870.0823
337,15,0,0,0.0000,36,71,1038553,28848.6944
338,15,31,72064,2324.6452,34,32,55560,1611.9923
339,30,22,188717,8578.0455,26,77,1152601,43659.1288
340,15,57,103626,1818.0000,57,97,222070,3868.8153
341,15,0,0,0.0000,23,34,409700,17458.8068
342,15,21,51304,2443.0476,20,23,22080,1096.6887
343,15,51,127755,2505.0000,52,82,109330,2102.5000
344,15,57,350907,6156.2632,59,110,540700,9143.7430
345,15,56,493864,8819.0000,61,117,552400,9100.4942
346,15,67,527625,7875.0000,70,140,976320,13907.6923
347,15,23,171622,7461.8261,59,152,1772542,29975.3439
348,15,0,0,0.0000,35,69,674800,19080.1131
349,15,13,79512,6116.3077,16,24,82740,5171.2500
350,15,20,79611,3980.5500,24,27,64430,2699.5810
351,15,0,0,0.0000,20,39,161300,8065.0000
352,15,49,97608,1992.0000,50,66,121310,2444.1236
353,15,36,128376,3566.0000,36,35,75570,2116.8067
354,15,58,276718,4771.0000,61,112,450600,7447.9339
355,30,31,246109,7939.0000,33,46,292891,8777.9520
356,15,28,121452,4337.5714,32,53,477200,14990.5759
357,15,29,59972,2068.0000,28,32,22740,805.4309
358,15,57,116255,2039.5614,56,50,74540,1333.4526
359,15,44,155936,3544.0000,44,28,77700,1771.2766
360,15,0,0,0.0000,30,51,775080,25468.1271
361,15,66,219714,3329.0000,69,129,1557300,22558.6673
362,15,64,407104,6361.0000,67,104,356940,5306.3429
363,15,0,0,0.0000,55,148,2280845,41220.0904
364,15,17,39978,2351.6471,18,14,12360,694.3820
365,15,56,746139,13323.9107,59,60,407123,6900.3898
366,15,21,184360,8779.0476,25,47,400280,16293.6228
367,15,15,102144,6809.6000,18,26,160260,8936.4312
368,15,61,342149,5609.0000,63,83,249200,3932.6670
370,15,53,109975,2075.0000,52,40,54090,1044.8809
371,15,0,0,0.0000,26,30,119050,4538.1194
372,15,36,349803,9716.7500,37,65,595900,16105.4054
373,15,25,167752,6710.0800,29,37,159360,5585.0467
374,15,0,0,0.0000,72,155,1764948,24615.7322
375,15,25,99424,3976.9600,25,32,63190,2514.1910
376,15,41,290977,7097.0000,45,90,874720,19438.2222
377,15,0,0,0.0000,52,132,2112059,40616.5192
378,15,28,329956,11784.1429,28,86,1613600,57355.4502
379,15,27,67068,2484.0000,28,40,56060,1987.9433
381,15,0,0,0.0000,63,128,562720,8871.0457
382,15,23,52375,2277.1739,23,12,17790,780.2632
383,15,13,28798,2215.2308,15,11,13010,854.0481
384,30,0,0,0.0000,13,30,775592,57880.0000
385,15,65,150159,2310.1385,63,75,66390,1056.0445
386,15,11,56532,5139.2727,15,27,200440,13666.3636
387,15,0,0,0.0000,12,20,319922,27738.9017
388,15,42,274008,6524.0000,44,63,242400,5509.0909
389,15,59,245676,4164.0000,62,82,217240,3515.2104
390,15,32,164241,5132.5313,34,82,2042699,60614.2136
391,15,0,0,0.0000,58,104,395200,6865.0840
392,15,23,169680,7377.3913,27,51,247380,9039.4641
393,15,42,261324,6222.0000,45,73,978600,21539.2517
395,15,65,513955,7907.0000,69,111,1128580,16356.2319
396,15,65,382330,5882.0000,68,132,1323760,19457.5208
397,15,0,0,0.0000,62,138,2015811,32618.3010
398,15,9,17020,1891.1111,10,13,37510,3606.7308
399,15,20,126189,6309.4500,22,48,749332,34112.2307
400,15,61,423828,6948.0000,64,103,523700,8174.2976
401,15,67,359723,5369.0000,70,96,605540,8712.8058
402,15,10,45023,4502.3000,14,26,256300,18662.6214
403,15,60,144060,2401.0000,61,66,150120,2443.6245
404,15,39,195507,5013.0000,43,101,1318372,30423.9692
405,15,16,227193,14199.5625,19,37,555481,29235.8421
406,15,23,49536,2153.7391,23,26,24090,1035.3868
407,30,12,70525,5877.0833,18,28,278778,15779.8868
408,15,60,302520,5042.0000,64,132,590160,9211.6545
409,15,25,177060,7082.4000,29,46,135700,4722.7378
410,15,20,80325,4016.2500,22,24,52750,2430.8756
411,15,66,560934,8499.0000,69,137,824800,11913.3365
412,15,30,270537,9017.9000,34,63,813425,23738.0837
413,15,24,52675,2194.7917,25,32,77750,3110.0000
414,15,29,236100,8141.3793,33,60,394500,12003.0426
415,15,66,576840,8740.0000,69,110,416480,6050.5569
416,15,23,47256,2054.6087,24,38,74360,3094.0361
417,15,0,0,0.0000,34,68,1228797,36212.0923
418,15,36,335376,9316.0000,38,74,549940,14296.5338
419,15,0,0,0.0000,60,108,339400,5678.7507
420,15,34,251720,7403.5294,38,64,207100,5493.3687
421,15,8,50139,6267.3750,11,11,55200,5223.9748
422,30,0,0,0.0000,51,94,1354683,26666.9882
423,15,65,126230,1942.0000,62,69,57750,932.9564
424,15,17,82638,4861.0588,20,38,432840,21570.0997
425,15,65,209446,3222.2462,67,101,292360,4337.6855
426,15,58,685471,11818.4655,60,71,852879,14112.7248
427,15,49,400134,8166.0000,51,104,860620,16863.8798
428,15,65,259155,3987.0000,68,84,157000,2315.6342
429,15,34,185010,5441.4706,38,82,557200,14497.8317
430,0,0,0,0.0000,28,13,15300,546.4286
431,15,21,151137,7197.0000,23,41,339840,14627.2597
432,15,0,0,0.0000,64,116,501100,7862.4477
433,15,0,0,0.0000,61,70,338400,5565.7895
434,15,18,138757,7708.7222,22,26,120800,5449.6241
435,15,66,210474,3189.0000,67,68,126320,1882.5633
436,15,24,126293,5262.2083,27,34,118700,4429.1045
437,15,57,302072,5299.5088,60,121,1209580,20103.8227
438,0,0,0,0.0000,14,11,102500,7321.4286
439,15,0,0,0.0000,29,44,189250,6444.3814
440,15,18,126479,7026.6111,22,48,252100,11221.0682
441,30,56,210095,3751.6964,60,152,2664706,44215.2544
442,15,6,105903,17650.5000,16,17,269101,16442.0163
443,15,66,134508,2038.0000,66,52,66090,1002.8832
444,15,26,120663,4640.8846,30,34,108300,3646.4646
445,30,61,697898,11440.9508,64,92,630935,9894.4328
446,15,62,430342,6941.0000,66,138,1260040,19101.1622
447,15,22,127742,5806.4545,27,41,425420,15564.1463
449,15,45,87721,1949.3556,45,48,119360,2650.4811
450,15,26,64908,2496.4615,25,28,57400,2327.0270
451,0,0,0,0.0000,51,28,53700,1052.9412
452,15,30,168423,5614.1000,36,71,1052769,29352.2955
453,15,15,112192,7479.4667,18,37,339800,19054.2056
454,15,39,221793,5687.0000,40,68,218760,5482.7068
455,15,39,325221,8339.0000,42,61,267860,6322.4233
456,15,0,0,0.0000,71,178,3635407,51468.7164
458,15,38,364268,9586.0000,41,77,351600,8596.5770
459,0,0,0,0.0000,44,27,37700,856.8182
460,15,52,184808,3554.0000,52,45,108810,2076.5267
461,15,66,100980,1530.0000,67,125,282590,4224.0658
462,15,56,466200,8325.0000,61,118,889900,14509.2391
463,15,39,249015,6385.0000,43,88,764820,17758.9783
464,15,14,52635,3759.6429,14,19,32010,2353.6765
465,15,67,745442,11126.0000,63,69,297054,4715.1429
466,0,0,0,0.0000,21,9,16500,785.7143
467,15,58,396256,6832.0000,61,97,331600,5400.6515
468,15,27,118552,4390.8148,32,57,624980,19757.0074
469,15,11,32064,2914.9091,15,22,48760,3152.5862
470,15,53,279628,5276.0000,56,93,237500,4233.5116
471,15,39,232262,5955.4359,41,69,217460,5278.1553
472,15,19,155800,8200.0000,26,65,1224016,47565.3886
473,15,21,160270,7631.9048,24,42,151500,6217.5103
474,15,31,73600,2374.1935,34,51,73880,2196.6303
475,15,14,41400,2957.1429,12,14,29240,2383.6957
476,0,0,0,0.0000,13,9,12700,976.9231
477,15,67,225796,3370.0896,69,133,1004700,14560.8696
478,15,48,390576,8137.0000,53,78,891280,16837.7834
479,15,32,68112,2128.5000,30,34,37920,1244.6389
480,15,18,89053,4947.3889,22,36,491980,21996.1252
481,15,26,51003,1961.6538,29,46,108480,3806.3158
483,15,12,25220,2101.6667,12,12,12950,1061.4754
484,15,43,222181,5167.0000,45,79,251300,5584.4444
485,100,70,880880,12584.0000,71,131,1846411,26005.7887
486,15,0,0,0.0000,34,53,215750,6345.5882
487,15,32,288468,9014.6250,37,39,604063,16399.9005
488,0,0,0,0.0000,16,8,13200,825.0000
489,15,62,347696,5608.0000,66,121,813380,12237.4122
490,15,39,79638,2042.0000,37,39,39310,1074.0437
491,15,25,236340,9453.6000,31,63,398900,12937.2973
492,15,0,0,0.0000,60,113,395060,6628.5235
493,15,0,0,0.0000,55,116,1042660,18843.2530
494,15,65,572047,8800.7231,67,115,1549017,23073.7388
496,15,66,237732,3602.0000,67,97,247620,3719.8798
497,15,64,217920,3405.0000,67,131,1344760,20081.0353
498,15,0,0,0.0000,61,123,1375300,22570.5689
500,15,30,114180,3806.0000,30,41,892087,29736.2333
501,15,25,113958,4558.3200,38,76,1145110,30320.6531
502,15,8,22482,2810.2500,10,14,25990,2599.0000
503,15,23,172200,7486.9565,27,51,245300,9221.8045
504,15,64,147712,2308.0000,62,71,67420,1094.4805
505,15,19,44402,2336.9474,19,22,19410,1012.6957
506,15,25,106735,4269.4000,27,59,388400,14209.7561
507,15,0,0,0.0000,29,53,212370,7348.4429
508,15,19,49600,2610.5263,19,35,56180,3015.0268
509,15,0,0,0.0000,15,33,235800,16224.7706
510,30,65,282313,4343.2769,67,79,1328236,19933.5068
511,15,0,0,0.0000,25,37,446300,18020.1884
512,15,17,170082,10004.8235,21,39,311700,14610.9375
513,15,20,166068,8303.4000,23,31,155900,6778.2609
514,15,27,161280,5973.3333,29,44,251340,8666.8966
515,15,42,115500,2750.0000,43,32,60170,1415.7647
516,15,30,115816,3860.5333,31,41,94270,3077.3667
517,15,59,546045,9255.0000,63,111,1020360,16325.7600
518,15,47,155576,3310.1277,47,55,127610,2701.6937
519,15,56,181720,3245.0000,57,91,223780,3925.9649
520,15,57,132924,2332.0000,55,42,55790,1010.0785
521,15,37,156658,4234.0000,38,126,2395260,62867.7165
522,15,32,160224,5007.0000,34,53,249140,7327.6471
523,15,0,0,0.0000,64,129,775700,12202.9365
524,15,51,294168,5768.0000,54,92,807900,14887.5921
